rk,player,nation,pos,squad,comp,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg+xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg+xag,per_90_minutes_npxg,per_90_minutes_npxg+xag,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save%,performance_w,performance_d,performance_l,performance_cs,performance_cs%,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save%,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,expected_xa,expected_a-xag,kp,1/3,ppa,crspa,prgp,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_npxg/sh,expected_g-xg,expected_np:g-xg,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg/sot,expected_psxg+/-,expected_/90,launched_cmp,launched_att,launched_cmp%,passes_att_(gk),passes_thr,passes_launch%,passes_avglen,goal_kicks_att,goal_kicks_launch%,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp%,sweeper_#opa,sweeper_#opa/90,sweeper_avgdist,season
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,29,29,2507,27.9,3,2,5,2,1,1,0,0,2.1,1.3,3.7,5.1,60,143,89,0.11,0.07,0.18,0.07,0.14,0.08,0.13,0.21,0.05,0.18,43,23,31,10,2,23,50,46.0,27,31,9,22,45,88,52,1,,,,,,,,,,,,,,,,1241,1595,77.8,19052,8208,668,758,88.1,470,590,79.7,73,163,44.8,2,3.7,3.2,-1.7,32,89,23,3,143,1870,89,529,848,515,41,1869,38,16,42.1,22,57.9,830,4462,2433,60,41,10,31,15,994,89,3,26,5,19.2,0.93,0.18,0.08,0.40,21.7,3,1,1,0.05,+0.9,+0.7,0,9,8,2,92,45,23,0,0,1,176,16,16,50.0,64,2.30,34,23,4,2,1,0,5,0.18,3,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2019-2020
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,36,3240,36.0,0,1,1,0,0,0,7,0,0.6,0.6,3.9,4.5,92,78,151,0.00,0.03,0.03,0.00,0.03,0.02,0.11,0.12,0.02,0.12,48,30,33,9,6,18,36,50.0,18,46,29,17,37,85,97,1,,,,,,,,,,,,,,,,1332,1711,77.8,17879,5691,880,982,89.6,351,469,74.8,49,121,40.5,1,3.9,2.8,-2.9,23,55,28,12,78,2144,159,763,868,536,43,2144,99,48,48.5,51,51.5,1259,7858,4066,92,61,21,54,31,1253,151,0,14,4,28.6,0.39,0.11,0.00,0.00,17.2,0,0,0,0.04,-0.6,-0.6,0,29,49,3,73,37,30,1,0,0,178,22,49,31.0,64,1.78,47,2,6,3,4,2,3,0.08,2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,2019-2020
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,28,2520,28.0,3,0,3,3,0,0,0,0,1.7,1.7,1.2,2.9,21,96,6,0.11,0.00,0.11,0.11,0.11,0.06,0.04,0.10,0.06,0.10,46,33,29,15,2,17,30,56.7,13,26,14,12,47,93,99,1,,,,,,,,,,,,,,,,1323,1570,84.3,27406,10308,370,420,88.1,762,854,89.2,185,269,68.8,0,1.2,0.3,-1.2,5,53,1,0,96,1854,194,1052,768,51,29,1854,26,20,76.9,6,23.1,1031,5773,3542,21,12,0,15,5,1216,6,3,19,5,26.3,0.68,0.18,0.16,0.60,13.3,0,0,0,0.09,+1.3,+1.3,0,21,17,0,1,47,33,0,1,0,140,85,51,62.5,23,0.82,16,0,1,4,2,0,1,0.04,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2019-2020
4,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,6,1,157,1.7,1,0,1,1,0,0,1,0,1.1,1.1,0.2,1.3,2,3,10,0.57,0.00,0.57,0.57,0.57,0.65,0.09,0.74,0.65,0.74,0,0,0,0,0,0,3,0.0,3,2,1,1,1,1,1,0,,,,,,,,,,,,,,,,19,42,45.2,279,99,11,20,55.0,7,14,50.0,1,4,25.0,0,0.2,0.1,-0.2,1,2,2,1,3,63,1,8,24,33,7,63,5,2,40.0,3,60.0,29,164,75,2,2,1,7,0,36,10,1,6,3,50.0,3.44,1.72,0.17,0.33,16.0,0,0,0,0.19,-0.1,-0.1,0,0,0,3,8,1,0,0,0,0,7,6,11,35.3,4,2.29,2,0,1,1,0,0,0,0.00,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2019-2020
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,25,20,1817,20.2,1,2,3,1,0,0,5,0,1.5,1.5,1.8,3.3,25,104,42,0.05,0.10,0.15,0.05,0.15,0.07,0.09,0.16,0.07,0.16,55,29,18,32,5,20,53,37.7,33,16,3,13,23,78,8,1,,,,,,,,,,,,,,,,792,967,81.9,12997,3634,392,426,92.0,313,354,88.4,59,128,46.1,2,1.8,1.7,+0.2,27,80,6,2,104,1159,14,163,766,249,17,1159,23,16,69.6,7,30.4,650,3350,1494,25,24,3,24,21,754,42,1,33,7,21.2,1.63,0.35,0.03,0.14,25.1,3,0,0,0.04,-0.5,-0.5,0,55,43,1,63,23,29,0,1,0,153,13,17,43.3,53,2.63,30,16,1,3,1,2,4,0.20,2,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2019-2020
6,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,15,6,623,6.9,0,0,0,0,0,0,2,0,0.3,0.3,1.2,1.5,12,10,33,0.00,0.00,0.00,0.00,0.00,0.05,0.17,0.22,0.05,0.22,9,9,2,5,2,2,7,28.6,5,2,0,2,4,13,4,0,,,,,,,,,,,,,,,,75,132,56.8,932,234,46,75,61.3,16,29,55.2,4,6,66.7,0,1.2,0.8,-1.2,7,3,4,1,10,195,7,14,100,86,20,195,19,13,68.4,6,31.6,108,680,346,12,4,5,26,7,144,33,0,5,0,0.0,0.72,0.00,0.00,,16.0,0,0,0,0.07,-0.3,-0.3,0,16,11,7,5,4,9,1,0,0,22,28,34,45.2,18,2.60,11,0,1,1,4,1,2,0.29,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,2019-2020
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,20,19,1688,18.8,2,0,2,2,0,0,2,1,1.6,1.6,0.1,1.7,18,99,12,0.11,0.00,0.11,0.11,0.11,0.08,0.01,0.09,0.08,0.09,21,14,16,4,1,15,32,46.9,17,27,11,16,25,46,61,1,,,,,,,,,,,,,,,,738,911,81.0,14808,5563,249,287,86.8,379,445,85.2,105,156,67.3,0,0.1,0.4,-0.1,2,66,8,2,99,1075,93,456,550,76,10,1075,9,7,77.8,2,22.2,561,3169,1737,18,16,1,6,3,610,12,2,7,4,57.1,0.37,0.21,0.29,0.50,8.1,0,0,0,0.22,+0.4,+0.4,0,14,12,0,9,25,14,0,0,0,125,48,30,61.5,13,0.69,12,0,0,1,0,0,1,0.05,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2019-2020
8,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,34,25,2215,24.6,15,3,18,15,0,0,2,0,16.4,16.4,2.7,19.0,31,34,134,0.61,0.12,0.73,0.61,0.73,0.67,0.11,0.77,0.67,0.77,8,4,2,5,1,3,14,21.4,11,20,2,18,6,14,27,0,,,,,,,,,,,,,,,,275,418,65.8,3513,697,161,221,72.9,63,86,73.3,13,21,61.9,3,2.7,1.9,+0.3,21,17,7,1,34,722,30,60,337,334,146,722,35,16,45.7,19,54.3,333,1698,749,31,17,10,74,42,479,134,15,88,35,39.8,3.58,1.42,0.17,0.43,11.6,0,0,0,0.19,-1.4,-1.4,0,17,24,23,11,6,4,1,0,1,49,89,113,44.1,57,2.32,37,0,5,10,2,3,9,0.37,4,0,2,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,2019-2020
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,13,8,663,7.4,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.6,8,27,13,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.08,0.07,0.08,16,8,7,8,1,10,19,52.6,9,18,3,15,7,23,16,2,,,,,,,,,,,,,,,,280,330,84.8,4029,919,162,178,91.0,101,112,90.2,10,18,55.6,0,0.1,0.2,-0.1,4,24,4,3,27,425,24,137,232,58,4,425,5,3,60.0,2,40.0,236,1014,401,8,4,0,18,3,250,13,0,4,2,50.0,0.54,0.27,0.00,0.00,20.1,0,0,0,0.12,-0.5,-0.5,0,17,12,0,7,7,8,0,0,0,51,9,9,50.0,10,1.35,9,0,1,0,0,0,0,0.00,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2019-2020
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,36,36,3162,35.1,2,2,4,2,0,0,4,0,2.4,2.4,1.7,4.2,57,150,36,0.06,0.06,0.11,0.06,0.11,0.07,0.05,0.12,0.07,0.12,59,29,42,12,5,14,20,70.0,6,40,27,13,42,101,109,1,,,,,,,,,,,,,,,,1844,2073,89.0,38047,14343,636,686,92.7,903,970,93.1,279,371,75.2,2,1.7,1.7,+0.3,8,149,15,5,150,2387,300,1093,1125,184,30,2387,14,13,92.9,1,7.1,1391,9440,5596,57,22,0,12,7,1599,36,2,16,5,31.3,0.46,0.14,0.13,0.40,14.5,0,0,0,0.15,-0.4,-0.4,0,26,41,5,26,42,29,1,0,0,179,56,32,63.6,37,1.05,34,0,0,2,1,0,5,0.14,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2019-2020
