rk,player,nation,pos,squad,comp,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg+xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg+xag,per_90_minutes_npxg,per_90_minutes_npxg+xag,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save%,performance_w,performance_d,performance_l,performance_cs,performance_cs%,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save%,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,expected_xa,expected_a-xag,kp,1/3,ppa,crspa,prgp,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_npxg/sh,expected_g-xg,expected_np:g-xg,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg/sot,expected_psxg+/-,expected_/90,launched_cmp,launched_att,launched_cmp%,passes_att_(gk),passes_thr,passes_launch%,passes_avglen,goal_kicks_att,goal_kicks_launch%,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp%,sweeper_#opa,sweeper_#opa/90,sweeper_avgdist,season
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,28,25,2184,24.3,5,1,6,5,0,0,7,0,3.1,3.1,2.1,5.2,46,92,86,0.21,0.04,0.25,0.21,0.25,0.13,0.09,0.21,0.13,0.21,47,32,29,15,3,16,34,47.1,18,24,5,19,47,94,64,2,,,,,,,,,,,,,,,,884,1176,75.2,14197,6422,479,532,90.0,311,431,72.2,74,152,48.7,1,2.1,1.8,-1.1,18,63,28,6,92,1435,90,445,616,391,32,1435,31,26,83.9,5,16.1,717,3714,1966,46,33,7,37,18,711,86,5,33,11,33.3,1.36,0.45,0.15,0.45,23.4,4,0,0,0.09,+1.9,+1.9,0,18,10,3,56,47,32,0,0,0,162,6,5,54.5,46,1.90,24,12,6,2,1,1,4,0.16,2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018
2,Rolando Aarons,eng ENG,"MF,FW",Newcastle Utd,eng Premier League,21,1995,4,1,139,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,7,3,4,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,4,4,3,1,0,4,6,66.7,2,3,0,3,1,5,0,0,,,,,,,,,,,,,,,,29,44,65.9,376,77,24,30,80.0,2,5,40.0,2,3,66.7,0,0.0,0.0,0.0,0,2,1,1,3,65,0,11,30,25,3,65,6,4,66.7,2,33.3,37,380,127,7,3,3,4,6,39,4,0,2,0,0.0,1.29,0.00,0.00,,19.9,0,0,0,0.03,-0.1,-0.1,0,1,3,1,2,1,4,0,0,0,9,1,3,25.0,1,0.65,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018
3,Rolando Aarons,eng ENG,"MF,FW",Hellas Verona,it Serie A,21,1995,11,6,517,5.7,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,9,17,31,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,13,8,4,4,5,1,7,14.3,6,3,1,2,2,15,0,0,,,,,,,,,,,,,,,,87,120,72.5,1174,325,50,60,83.3,25,35,71.4,4,8,50.0,0,0.2,0.1,-0.2,3,8,7,1,17,166,3,18,71,80,7,166,15,8,53.3,7,46.7,105,712,352,9,11,2,9,13,125,31,0,3,0,0.0,0.52,0.00,0.00,,17.4,0,0,0,0.05,-0.2,-0.2,0,9,11,0,10,2,8,0,0,0,19,9,15,37.5,5,0.87,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018
4,Ignazio Abate,it ITA,DF,Milan,it Serie A,30,1986,17,11,1057,11.7,1,0,1,1,0,0,3,0,0.2,0.2,0.5,0.7,20,81,65,0.09,0.00,0.09,0.09,0.09,0.01,0.04,0.06,0.01,0.06,20,17,10,9,1,6,11,54.5,5,22,2,20,8,28,29,0,,,,,,,,,,,,,,,,625,776,80.5,10991,4535,273,294,92.9,287,333,86.2,58,120,48.3,0,0.5,0.8,-0.5,10,55,20,7,81,864,35,237,428,206,8,864,1,0,0.0,1,100.0,386,1802,1124,20,18,0,7,6,563,65,1,4,2,50.0,0.34,0.17,0.25,0.50,17.1,0,0,0,0.04,+0.8,+0.8,0,12,8,3,31,8,17,0,0,0,56,5,4,55.6,27,2.30,24,1,0,2,0,0,4,0.34,3,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,8,6,499,5.5,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,2,12,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,7,3,5,2,0,4,7,57.1,3,5,5,0,4,11,20,0,,,,,,,,,,,,,,,,310,333,93.1,5550,1557,126,128,98.4,148,155,95.5,24,34,70.6,0,0.0,0.0,0.0,0,8,0,0,12,375,27,175,200,4,2,375,1,1,100.0,0,0.0,296,1522,829,2,1,0,0,1,278,0,0,2,1,50.0,0.36,0.18,0.00,0.00,11.5,0,0,0,0.06,-0.1,-0.1,0,9,6,0,0,4,3,0,0,0,32,7,7,50.0,2,0.36,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19,1997,1,1,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,2,1,1,1,0,0,1,0.0,1,1,0,1,3,5,3,0,,,,,,,,,,,,,,,,29,38,76.3,474,167,17,19,89.5,10,12,83.3,2,5,40.0,0,0.1,0.1,-0.1,1,0,1,1,1,49,4,20,20,10,0,49,1,1,100.0,0,0.0,17,95,67,2,2,0,0,0,23,3,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,0,1,0,0,2,3,1,0,0,0,5,1,2,33.3,2,2.34,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018
7,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,19,14,1176,13.1,0,1,1,0,0,0,2,0,1.0,1.0,0.3,1.3,20,49,14,0.00,0.08,0.08,0.00,0.08,0.07,0.02,0.10,0.07,0.10,23,15,8,14,1,8,32,25.0,24,11,6,5,18,41,25,2,,,,,,,,,,,,,,,,513,605,84.8,8787,2345,231,264,87.5,219,245,89.4,44,62,71.0,1,0.3,0.3,+0.7,7,33,1,0,49,752,30,183,496,84,10,752,20,14,70.0,6,30.0,503,2859,1321,20,13,0,24,21,494,14,0,21,6,28.6,1.61,0.46,0.00,0.00,25.2,2,0,0,0.05,-1.0,-1.0,0,29,16,2,6,18,15,0,0,0,93,13,16,44.8,19,1.46,13,1,1,3,0,1,1,0.08,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,27,27,2302,25.6,0,2,2,0,0,0,3,0,0.4,0.4,0.7,1.1,17,103,7,0.00,0.08,0.08,0.00,0.08,0.01,0.03,0.04,0.01,0.04,40,32,29,10,1,27,36,75.0,9,29,15,14,40,80,141,1,,,,,,,,,,,,,,,,1088,1321,82.4,22896,8476,348,391,89.0,547,611,89.5,178,293,60.8,2,0.7,0.7,+1.3,7,77,3,2,103,1580,139,734,829,33,11,1580,10,8,80.0,2,20.0,824,4547,2817,17,5,0,8,5,906,7,0,7,1,14.3,0.27,0.04,0.00,0.00,19.2,0,0,0,0.05,-0.4,-0.4,0,11,20,0,7,40,32,0,0,1,113,78,42,65.0,20,0.78,17,2,0,1,0,0,2,0.08,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018
9,Tammy Abraham,eng ENG,FW,Swansea City,eng Premier League,19,1997,31,15,1726,19.2,5,1,6,5,0,0,0,0,6.8,6.8,1.6,8.4,19,20,104,0.26,0.05,0.31,0.26,0.31,0.35,0.08,0.44,0.35,0.44,10,8,1,7,2,1,13,7.7,12,8,1,7,1,11,11,0,,,,,,,,,,,,,,,,206,314,65.6,2754,557,123,173,71.1,56,89,62.9,10,22,45.5,1,1.6,0.8,-0.6,12,16,6,2,20,498,12,33,246,230,65,498,47,27,57.4,20,42.6,305,1600,555,19,16,8,50,51,393,104,5,42,13,31.0,2.19,0.68,0.12,0.38,13.1,0,0,0,0.16,-1.8,-1.8,0,15,27,9,13,1,8,0,0,0,41,39,58,40.2,42,2.19,19,0,11,5,5,2,2,0.10,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018
10,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,12,11,850,9.4,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.7,8,38,18,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,35,32,15,18,2,16,23,69.6,7,22,5,17,19,54,20,0,,,,,,,,,,,,,,,,248,321,77.3,4354,1126,103,132,78.0,116,146,79.5,24,32,75.0,0,0.4,0.6,-0.4,3,22,6,1,38,435,23,98,263,77,3,435,5,4,80.0,1,20.0,169,947,335,8,7,1,14,19,224,18,0,5,0,0.0,0.53,0.00,0.00,,22.2,0,0,0,0.04,-0.2,-0.2,0,20,27,0,5,19,32,0,0,0,55,17,17,50.0,14,1.48,10,0,0,1,3,0,2,0.21,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2017-2018
