rk,player,nation,pos,squad,comp,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg+xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg+xag,per_90_minutes_npxg,per_90_minutes_npxg+xag,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save%,performance_w,performance_d,performance_l,performance_cs,performance_cs%,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save%,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,expected_xa,expected_a-xag,kp,1/3,ppa,crspa,prgp,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_npxg/sh,expected_g-xg,expected_np:g-xg,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg/sot,expected_psxg+/-,expected_/90,launched_cmp,launched_att,launched_cmp%,passes_att_(gk),passes_thr,passes_launch%,passes_avglen,goal_kicks_att,goal_kicks_launch%,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp%,sweeper_#opa,sweeper_#opa/90,sweeper_avgdist,season
1057,Mattéo Guendouzi,fr FRA,MF,Hertha BSC,de Bundesliga,21,1999,24,19,1818,20.2,2,1,3,2,0,0,5,0,1.0,1.0,1.6,2.6,40,125,61,0.10,0.05,0.15,0.10,0.15,0.05,0.08,0.13,0.05,0.13,24,13,10,12,2,9,25,36.0,16,15,4,11,21,45,24,1,,,,,,,,,,,,,,,,859,1004,85.6,15970,4495,334,368,90.8,402,437,92.0,107,143,74.8,1,1.6,1.3,-0.6,17,85,19,0,125,1185,36,208,752,239,28,1185,39,23,59.0,16,41.0,782,4879,2363,40,22,8,29,27,861,61,2,17,9,52.9,0.84,0.45,0.12,0.22,19.2,0,0,0,0.06,+1.0,+1.0,0,23,47,0,10,21,13,2,0,0,121,14,15,48.3,44,2.18,32,3,2,2,5,0,4,0.20,1,0,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021
1058,Raphaël Guerreiro,pt POR,DF,Dortmund,de Bundesliga,26,1993,27,25,2218,24.6,5,10,15,5,0,0,1,0,3.8,3.8,7.4,11.2,86,243,169,0.20,0.41,0.61,0.20,0.61,0.15,0.30,0.45,0.15,0.45,30,13,14,8,8,16,31,51.6,15,21,4,17,28,58,31,1,,,,,,,,,,,,,,,,1841,2151,85.6,27469,10173,1054,1151,91.6,613,704,87.1,112,172,65.1,10,7.4,8.7,+2.6,55,188,56,10,243,2384,61,489,1153,754,94,2384,48,32,66.7,16,33.3,1419,6892,4115,86,59,17,40,19,1733,169,5,37,15,40.5,1.50,0.61,0.14,0.33,20.0,3,0,0,0.10,+1.2,+1.2,0,10,12,2,70,28,13,0,0,0,174,6,17,26.1,97,3.94,83,7,3,1,3,0,15,0.61,13,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021
1059,Evann Guessand,ci CIV,FW,Nice,fr Ligue 1,19,2001,3,0,29,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,2,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,1,0,,,,,,,,,,,,,,,,2,4,50.0,58,7,0,1,0.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,2,8,3,3,1,4,2,8,1,1,100.0,0,0.0,4,36,23,1,0,1,0,0,4,2,0,1,1,100.0,3.10,3.10,0.00,0.00,9.8,0,0,0,0.06,-0.1,-0.1,0,0,0,0,0,1,0,0,0,0,1,1,2,33.3,1,3.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021
1060,Kelyan Guessoum,fr FRA,DF,Nîmes,fr Ligue 1,21,1999,15,11,1128,12.5,0,0,0,0,0,0,2,0,0.5,0.5,0.2,0.6,4,24,1,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,13,7,11,1,1,11,16,68.8,5,8,6,2,24,37,51,0,,,,,,,,,,,,,,,,505,573,88.1,10583,2516,112,125,89.6,333,356,93.5,58,84,69.0,0,0.2,0.1,-0.2,1,13,2,0,24,686,68,381,295,14,7,686,1,1,100.0,0,0.0,443,2350,1311,4,3,0,3,1,463,1,0,6,1,16.7,0.48,0.08,0.00,0.00,11.6,0,0,0,0.08,-0.5,-0.5,0,6,13,0,0,24,7,1,0,0,36,16,12,57.1,4,0.32,1,0,0,1,1,1,1,0.08,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021
1061,Ander Guevara,es ESP,MF,Real Sociedad,es La Liga,23,1997,31,25,2081,23.1,1,1,2,1,0,0,5,0,0.4,0.4,0.7,1.1,31,140,21,0.04,0.04,0.09,0.04,0.09,0.02,0.03,0.05,0.02,0.05,35,23,15,16,4,15,30,50.0,15,19,5,14,25,60,35,1,,,,,,,,,,,,,,,,1175,1423,82.6,20240,5719,537,621,86.5,483,562,85.9,123,167,73.7,1,0.7,1.0,+0.3,14,109,9,1,140,1614,67,377,1028,220,11,1614,16,14,87.5,2,12.5,950,5012,2639,31,24,1,30,21,1123,21,1,9,2,22.2,0.39,0.09,0.11,0.50,22.1,0,0,0,0.05,+0.6,+0.6,0,30,14,0,3,25,23,0,0,0,170,26,26,50.0,36,1.56,33,0,1,1,0,1,4,0.17,3,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021
1062,Lamine Gueye,sn SEN,"FW,MF",Metz,fr Ligue 1,22,1998,26,19,1454,16.2,3,2,5,3,0,0,1,0,4.6,4.6,2.3,6.9,42,30,142,0.19,0.12,0.31,0.19,0.31,0.29,0.14,0.43,0.29,0.43,18,9,4,11,3,7,24,29.2,17,7,2,5,21,39,5,0,,,,,,,,,,,,,,,,341,499,68.3,4686,1093,217,266,81.6,84,135,62.2,19,46,41.3,2,2.3,1.7,-0.3,19,16,8,4,30,705,5,93,304,323,60,705,26,15,57.7,11,42.3,452,2599,1079,42,31,15,61,30,530,142,3,41,16,39.0,2.54,0.99,0.07,0.19,16.7,0,0,0,0.11,-1.6,-1.6,0,12,37,9,69,21,9,0,0,0,67,26,42,38.2,42,2.60,22,8,3,6,2,1,3,0.19,2,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021
1063,Pape Gueye,sn SEN,MF,Marseille,fr Ligue 1,21,1999,32,22,2058,22.9,2,0,2,2,0,0,11,1,1.2,1.2,0.9,2.1,16,130,29,0.09,0.00,0.09,0.09,0.09,0.05,0.04,0.09,0.05,0.09,49,21,25,19,5,15,45,33.3,30,25,6,19,47,96,34,0,,,,,,,,,,,,,,,,1159,1389,83.4,19684,5028,562,631,89.1,473,529,89.4,98,160,61.3,0,0.9,0.7,-0.9,6,126,8,2,130,1643,47,330,1140,184,9,1643,12,7,58.3,5,41.7,1003,4452,2197,16,16,1,33,17,1155,29,2,17,4,23.5,0.74,0.17,0.12,0.50,23.8,0,0,0,0.07,+0.8,+0.8,1,47,46,0,9,47,21,0,0,0,162,46,39,54.1,38,1.66,32,0,0,2,2,2,4,0.17,3,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021
1064,John Guidetti,se SWE,FW,Alavés,es La Liga,28,1992,10,1,208,2.3,1,0,1,1,0,0,1,0,0.8,0.8,0.0,0.8,1,5,9,0.43,0.00,0.43,0.43,0.43,0.36,0.01,0.37,0.36,0.37,2,2,0,2,0,0,2,0.0,2,0,0,0,1,3,2,0,,,,,,,,,,,,,,,,49,73,67.1,675,180,28,35,80.0,10,18,55.6,4,9,44.4,0,0.0,0.0,0.0,1,7,0,0,5,86,2,5,45,36,9,86,0,0,,0,,45,147,50,1,1,0,5,2,68,9,1,5,1,20.0,2.16,0.43,0.20,1.00,13.7,0,0,0,0.16,+0.2,+0.2,0,7,2,1,6,1,2,0,0,0,7,4,4,50.0,8,3.48,7,0,0,0,0,1,0,0.00,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021
1065,Josuha Guilavogui,fr FRA,"MF,DF",Wolfsburg,de Bundesliga,29,1990,20,7,747,8.3,0,1,1,0,0,0,3,0,0.4,0.4,0.7,1.0,2,39,7,0.00,0.12,0.12,0.00,0.12,0.05,0.08,0.12,0.05,0.12,17,9,9,8,0,5,12,41.7,7,12,5,7,29,46,25,0,,,,,,,,,,,,,,,,362,435,83.2,6739,2175,137,158,86.7,178,199,89.4,42,61,68.9,1,0.7,0.5,+0.3,6,40,4,0,39,541,37,190,296,58,5,541,7,7,100.0,0,0.0,262,930,374,2,6,0,8,2,302,7,0,5,0,0.0,0.60,0.00,0.00,,17.0,0,0,0,0.07,-0.4,-0.4,0,16,4,0,2,29,9,0,0,0,66,22,13,62.9,14,1.69,13,0,0,0,0,1,0,0.00,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021
1066,Frederic Guilbert,fr FRA,DF,Strasbourg,fr Ligue 1,25,1994,13,13,1114,12.4,1,4,5,1,0,0,2,1,0.5,0.5,1.7,2.2,39,51,48,0.08,0.32,0.40,0.08,0.40,0.04,0.14,0.18,0.04,0.18,37,19,23,11,3,21,34,61.8,13,14,1,13,33,70,32,0,,,,,,,,,,,,,,,,444,657,67.6,8872,3707,169,203,83.3,191,253,75.5,73,155,47.1,4,1.7,2.3,+2.3,13,34,16,13,51,830,43,234,362,248,4,830,30,16,53.3,14,46.7,366,2308,1244,39,26,1,20,7,399,48,1,15,4,26.7,1.21,0.32,0.07,0.25,26.5,4,0,0,0.04,+0.5,+0.5,0,18,13,0,67,33,19,0,0,0,83,16,18,47.1,29,2.34,15,8,0,2,3,1,5,0.40,4,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021
