rk,player,nation,pos,squad,comp,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg+xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg+xag,per_90_minutes_npxg,per_90_minutes_npxg+xag,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save%,performance_w,performance_d,performance_l,performance_cs,performance_cs%,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save%,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,expected_xa,expected_a-xag,kp,1/3,ppa,crspa,prgp,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_npxg/sh,expected_g-xg,expected_np:g-xg,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg/sot,expected_psxg+/-,expected_/90,launched_cmp,launched_att,launched_cmp%,passes_att_(gk),passes_thr,passes_launch%,passes_avglen,goal_kicks_att,goal_kicks_launch%,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp%,sweeper_#opa,sweeper_#opa/90,sweeper_avgdist,season
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,3,3,204,2.3,0,0,0,0,0,0,3,0,0.0,0.0,0.4,0.4,3,8,8,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,12,6,7,5,0,5,10,50.0,5,5,0,5,8,20,9,0,,,,,,,,,,,,,,,,73,120,60.8,1324,635,32,43,74.4,31,51,60.8,9,17,52.9,0,0.4,0.2,-0.4,2,6,2,2,8,157,9,49,80,31,0,157,3,2,66.7,1,33.3,70,381,239,3,4,0,4,2,71,8,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,0,6,0,0,11,8,6,0,0,0,18,1,5,16.7,3,1.32,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2018-2019
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,36,36,3195,35.5,3,2,5,3,0,0,3,0,2.6,2.6,4.4,7.0,89,212,106,0.08,0.06,0.14,0.08,0.14,0.07,0.12,0.20,0.07,0.20,48,24,35,11,2,24,40,60.0,16,33,9,24,40,88,91,2,,,,,,,,,,,,,,,,1564,1971,79.4,24295,10061,874,995,87.8,551,687,80.2,101,194,52.1,2,4.4,3.7,-2.4,35,117,52,4,212,2300,123,666,1046,611,63,2300,42,22,52.4,20,47.6,1051,5415,3184,89,69,16,35,15,1335,106,3,45,11,24.4,1.27,0.31,0.07,0.27,20.7,0,0,0,0.06,+0.4,+0.4,0,12,14,10,42,40,24,0,0,0,216,10,12,45.5,86,2.42,67,8,2,7,2,0,6,0.17,4,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2018-2019
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,19,15,1302,14.5,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.4,27,88,43,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,34,19,16,13,5,14,22,63.6,8,19,6,13,18,52,50,0,,,,,,,,,,,,,,,,763,925,82.5,13052,4961,352,375,93.9,342,403,84.9,60,114,52.6,0,0.4,0.6,-0.4,7,69,11,5,88,1070,67,342,579,156,11,1070,10,4,40.0,6,60.0,646,2673,1487,27,13,4,8,2,695,43,0,1,1,100.0,0.07,0.07,0.00,0.00,12.5,0,0,0,0.08,-0.1,-0.1,0,13,6,0,26,18,19,0,1,0,71,13,8,61.9,23,1.59,23,0,0,0,0,0,1,0.07,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2018-2019
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38,38,3420,38.0,0,0,0,0,0,0,2,0,1.6,1.6,0.1,1.8,16,71,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.05,0.04,0.05,60,33,48,11,1,30,40,75.0,10,44,24,20,65,125,196,0,,,,,,,,,,,,,,,,1330,1614,82.4,28130,10765,344,405,84.9,804,877,91.7,171,289,59.2,0,0.1,0.3,-0.1,3,49,3,0,71,2027,259,1276,738,46,27,2027,23,21,91.3,2,8.7,1040,5366,2909,16,7,1,16,6,1182,1,0,19,4,21.1,0.50,0.11,0.00,0.00,15.4,0,0,0,0.09,-1.6,-1.6,0,34,20,1,0,65,33,0,1,1,205,113,71,61.4,25,0.66,17,1,3,4,0,0,2,0.05,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2018-2019
5,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,26,23,2023,22.5,3,0,3,2,1,1,6,0,2.9,2.1,1.6,3.8,43,97,50,0.13,0.00,0.13,0.09,0.09,0.13,0.07,0.20,0.10,0.17,51,33,27,16,8,15,45,33.3,30,33,7,26,29,80,23,1,,,,,,,,,,,,,,,,903,1068,84.6,15602,3725,419,466,89.9,365,405,90.1,90,143,62.9,0,1.6,0.8,-1.6,22,92,5,2,97,1356,30,252,870,258,21,1355,60,31,51.7,29,48.3,786,4914,2328,43,23,4,40,31,908,50,3,36,10,27.8,1.60,0.44,0.06,0.20,24.9,0,1,1,0.06,+0.1,-0.1,0,57,28,1,24,29,33,0,0,0,145,17,26,39.5,41,1.82,30,4,4,1,1,1,2,0.09,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2018-2019
6,Charles Abi,fr FRA,"DF,FW",Saint-Étienne,fr Ligue 1,18,2000,3,0,32,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,0,0.00,0.00,0.00,0.00,0.00,0.17,0.12,0.29,0.17,0.29,4,4,2,1,1,2,2,100.0,0,1,0,1,0,4,1,0,,,,,,,,,,,,,,,,6,17,35.3,45,8,5,7,71.4,0,4,0.0,0,2,0.0,0,0.0,0.0,0.0,1,0,1,0,1,29,1,6,10,14,4,29,3,2,66.7,1,33.3,16,123,52,2,2,0,3,2,17,0,0,1,0,0.0,2.81,0.00,0.00,,15.5,0,0,0,0.06,-0.1,-0.1,0,2,1,0,0,0,4,0,0,0,5,2,1,66.7,2,5.63,0,0,1,0,1,0,0,0.00,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2018-2019
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,17,17,1420,15.8,0,0,0,0,0,0,2,0,0.8,0.8,0.4,1.1,20,80,7,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.07,0.05,0.07,22,14,13,8,1,11,25,44.0,14,23,12,11,24,46,64,0,,,,,,,,,,,,,,,,514,671,76.6,10872,4118,142,172,82.6,284,332,85.5,83,136,61.0,0,0.4,0.5,-0.4,5,56,6,2,80,839,94,370,434,47,8,839,7,6,85.7,1,14.3,418,2652,1566,20,14,0,5,2,442,7,0,5,1,20.0,0.32,0.06,0.00,0.00,11.4,0,0,0,0.15,-0.8,-0.8,0,11,9,0,8,24,14,0,0,0,104,40,22,64.5,12,0.76,9,0,1,1,1,0,1,0.06,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2018-2019
8,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,10,9,790,8.8,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,6,19,9,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,20,11,7,10,3,6,19,31.6,13,11,3,8,14,34,15,0,,,,,,,,,,,,,,,,319,372,85.8,5012,1108,154,174,88.5,129,137,94.2,18,26,69.2,0,0.1,0.1,-0.1,2,14,0,0,19,461,24,112,294,58,1,461,5,3,60.0,2,40.0,193,944,422,6,4,1,4,8,266,9,0,7,2,28.6,0.80,0.23,0.00,0.00,26.9,0,0,0,0.03,-0.2,-0.2,0,19,16,0,2,14,11,0,0,0,61,5,4,55.6,8,0.91,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2018-2019
9,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,37,37,3309,36.8,3,1,4,3,0,0,4,1,3.4,3.4,1.0,4.3,39,135,17,0.08,0.03,0.11,0.08,0.11,0.09,0.03,0.12,0.09,0.12,40,30,22,13,5,12,16,75.0,4,50,32,18,61,101,169,1,,,,,,,,,,,,,,,,1560,1800,86.7,30496,11601,547,598,91.5,765,828,92.4,216,313,69.0,1,1.0,0.6,0.0,10,111,7,1,135,2178,257,1019,1060,112,28,2178,11,9,81.8,2,18.2,1191,7946,4406,39,26,2,20,8,1306,17,3,18,7,38.9,0.49,0.19,0.17,0.43,9.8,0,0,0,0.20,-0.4,-0.4,1,24,42,3,6,61,30,0,0,0,226,96,43,69.1,31,0.84,27,0,0,1,3,0,2,0.05,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2018-2019
10,Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,28,19,1510,16.8,2,0,2,2,0,0,4,0,1.4,1.4,0.8,2.2,58,91,76,0.12,0.00,0.12,0.12,0.12,0.09,0.05,0.13,0.09,0.13,27,9,9,12,6,4,11,36.4,7,11,1,10,12,39,16,0,,,,,,,,,,,,,,,,580,738,78.6,8818,2290,319,355,89.9,218,266,82.0,30,62,48.4,0,0.8,0.8,-0.8,11,66,12,3,91,901,22,132,474,315,29,901,35,27,77.1,8,22.9,623,4409,2387,58,45,9,32,21,690,76,2,22,7,31.8,1.31,0.42,0.09,0.29,20.8,0,0,0,0.07,+0.6,+0.6,0,27,32,1,34,12,9,0,0,0,88,22,28,44.0,44,2.62,34,0,4,4,2,0,1,0.06,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2018-2019
