rk,player,nation,pos,squad,comp,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg+xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg+xag,per_90_minutes_npxg,per_90_minutes_npxg+xag,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save%,performance_w,performance_d,performance_l,performance_cs,performance_cs%,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save%,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,expected_xa,expected_a-xag,kp,1/3,ppa,crspa,prgp,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_npxg/sh,expected_g-xg,expected_np:g-xg,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg/sot,expected_psxg+/-,expected_/90,launched_cmp,launched_att,launched_cmp%,passes_att_(gk),passes_thr,passes_launch%,passes_avglen,goal_kicks_att,goal_kicks_launch%,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp%,sweeper_#opa,sweeper_#opa/90,sweeper_avgdist,season
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,34,32,2881,32.0,0,2,2,0,0,0,8,0,0.8,0.8,1.7,2.5,78,117,85,0.00,0.06,0.06,0.00,0.06,0.03,0.05,0.08,0.03,0.08,64,44,49,15,0,37,55,67.3,18,39,19,20,28,92,96,1,,,,,,,,,,,,,,,,1107,1469,75.4,16588,6133,645,713,90.5,383,511,75.0,57,160,35.6,2,1.7,1.7,+0.3,20,50,37,9,117,1841,160,721,703,440,23,1841,68,34,50.0,34,50.0,953,6454,3377,78,47,12,38,23,1030,85,0,13,2,15.4,0.41,0.06,0.00,0.00,19.9,0,0,0,0.06,-0.8,-0.8,0,27,52,1,50,28,44,0,2,1,154,13,50,20.6,46,1.44,34,3,2,3,3,1,3,0.09,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2021-2022
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,34,34,2983,33.1,2,0,2,2,0,0,5,1,1.2,1.2,0.8,2.0,23,119,14,0.06,0.00,0.06,0.06,0.06,0.04,0.02,0.06,0.04,0.06,48,27,34,14,0,16,32,50.0,16,50,25,25,68,116,104,0,,,,,,,,,,,,,,,,1284,1578,81.4,25516,9586,415,469,88.5,715,787,90.9,145,266,54.5,0,0.8,0.6,-0.8,9,95,7,0,119,1919,212,1017,843,84,24,1919,18,14,77.8,4,22.2,1194,6451,3558,23,19,0,28,13,1202,14,2,18,6,33.3,0.54,0.18,0.11,0.33,18.3,0,0,0,0.07,+0.8,+0.8,0,39,25,0,4,68,27,0,1,0,195,62,38,62.0,22,0.66,17,0,2,1,0,2,1,0.03,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2021-2022
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,31,29,2462,27.4,1,0,1,1,0,0,12,3,0.7,0.7,0.9,1.6,24,108,47,0.04,0.00,0.04,0.04,0.04,0.03,0.03,0.06,0.03,0.06,43,23,25,16,2,20,57,35.1,37,18,1,17,42,85,15,0,,,,,,,,,,,,,,,,1535,1701,90.2,25518,5456,748,805,92.9,655,699,93.7,108,129,83.7,0,0.9,0.8,-0.9,17,87,13,1,108,1948,39,557,1146,261,16,1948,41,26,63.4,15,36.6,1386,6570,2687,24,23,3,42,30,1481,47,1,18,5,27.8,0.66,0.18,0.06,0.20,21.5,0,0,0,0.04,+0.3,+0.3,2,43,37,0,14,42,23,0,0,0,186,17,20,45.9,50,1.83,41,0,0,4,4,1,3,0.11,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2021-2022
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,34,34,2956,32.8,0,2,2,0,0,0,9,0,1.5,1.5,3.7,5.1,30,171,73,0.00,0.06,0.06,0.00,0.06,0.04,0.11,0.16,0.04,0.16,110,60,44,53,13,71,166,42.8,95,58,1,57,55,165,13,0,,,,,,,,,,,,,,,,1342,1660,80.8,23767,6837,606,679,89.2,535,620,86.3,152,236,64.4,2,3.7,2.6,-1.7,35,147,23,9,171,2032,24,404,1298,357,13,2032,61,39,63.9,22,36.1,1311,5629,2353,30,39,3,52,40,1410,73,0,29,7,24.1,0.88,0.21,0.00,0.00,24.2,0,0,0,0.05,-1.5,-1.5,0,41,69,1,37,55,60,0,0,0,264,11,7,61.1,83,2.53,67,2,3,1,7,3,9,0.27,8,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,2021-2022
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,,,,,,,,,,,,,,,,3,7,42.9,46,0,2,3,66.7,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,12,0,0,5,8,1,12,0,0,,0,,7,11,1,0,0,0,3,0,9,4,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2021-2022
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,24,5,726,8.1,0,1,1,0,0,0,3,0,1.8,1.8,1.3,3.2,14,17,38,0.00,0.12,0.12,0.00,0.12,0.23,0.16,0.39,0.23,0.39,11,7,4,5,2,2,10,20.0,8,12,1,11,4,15,8,0,,,,,,,,,,,,,,,,84,137,61.3,1009,278,53,78,67.9,23,36,63.9,1,3,33.3,1,1.3,0.6,-0.3,7,5,6,0,17,246,6,24,108,115,23,246,20,7,35.0,13,65.0,131,629,266,14,5,6,29,10,160,38,0,18,4,22.2,2.23,0.50,0.00,0.00,16.7,0,0,0,0.10,-1.8,-1.8,0,17,11,15,3,4,7,0,0,0,28,19,30,38.8,15,1.85,10,0,0,2,2,1,2,0.25,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2021-2022
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,7,1,103,1.1,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,2,6,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,,,,,,,,,,,,,,,,7,9,77.8,72,15,5,7,71.4,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,2,20,1,1,6,13,3,20,6,3,50.0,3,50.0,11,55,17,1,1,0,1,3,12,6,0,2,0,0.0,1.75,0.00,0.00,,9.5,0,0,0,0.14,-0.3,-0.3,0,2,1,0,0,0,0,0,0,0,0,0,7,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2021-2022
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,37,36,3084,34.3,17,4,21,14,3,3,9,0,20.7,18.4,4.8,23.2,41,70,199,0.50,0.12,0.61,0.41,0.53,0.60,0.14,0.74,0.54,0.68,27,13,7,14,6,9,22,40.9,13,17,3,14,5,32,27,0,,,,,,,,,,,,,,,,485,696,69.7,6820,1622,293,401,73.1,134,180,74.4,28,39,71.8,4,4.8,2.4,-0.8,38,35,27,3,70,1064,32,73,508,495,173,1061,77,38,49.4,39,50.6,494,2592,1129,41,31,22,86,41,736,199,17,92,35,38.0,2.68,1.02,0.15,0.40,12.9,3,3,3,0.20,-3.7,-4.4,0,38,49,17,16,5,13,1,1,0,68,78,80,49.4,94,2.74,62,1,6,17,7,1,14,0.41,6,0,2,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,2021-2022
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,8,6,560,6.2,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,1,10,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,6,3,3,3,0,2,4,50.0,2,6,5,1,5,11,37,1,,,,,,,,,,,,,,,,191,226,84.5,3666,1177,56,67,83.6,113,119,95.0,18,28,64.3,0,0.0,0.0,0.0,0,8,0,0,10,286,45,178,106,5,4,286,0,0,,0,,149,760,487,1,0,0,0,0,180,1,0,2,0,0.0,0.32,0.00,0.00,,9.0,0,0,0,0.14,-0.3,-0.3,0,5,4,0,0,5,3,0,0,1,14,7,14,33.3,3,0.48,1,0,0,2,0,0,1,0.16,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2021-2022
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,30,29,2536,28.2,4,0,4,4,0,0,2,1,2.4,2.4,0.5,2.9,31,119,10,0.14,0.00,0.14,0.14,0.14,0.09,0.02,0.10,0.09,0.10,25,12,15,9,1,12,19,63.2,7,37,28,9,34,59,92,0,,,,,,,,,,,,,,,,1837,2043,89.9,34996,12273,678,731,92.7,919,968,94.9,211,296,71.3,0,0.5,0.8,-0.5,5,119,6,0,119,2295,268,1102,1143,59,22,2295,6,4,66.7,2,33.3,1364,6893,4301,31,19,0,13,4,1641,10,4,15,7,46.7,0.53,0.25,0.27,0.57,10.8,0,0,0,0.16,+1.6,+1.6,0,18,16,4,3,34,12,1,0,0,162,69,43,61.6,17,0.61,13,1,0,1,2,0,2,0.07,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,2021-2022
