rk,player,nation,pos,squad,comp,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg+xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg+xag,per_90_minutes_npxg,per_90_minutes_npxg+xag,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl%,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,int,tkl+int,clr,err,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save%,performance_w,performance_d,performance_l,performance_cs,performance_cs%,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save%,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,expected_xa,expected_a-xag,kp,1/3,ppa,crspa,prgp,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succ%,take-ons_tkld,take-ons_tkld%,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1/3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_npxg/sh,expected_g-xg,expected_np:g-xg,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won%,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg/sot,expected_psxg+/-,expected_/90,launched_cmp,launched_att,launched_cmp%,passes_att_(gk),passes_thr,passes_launch%,passes_avglen,goal_kicks_att,goal_kicks_launch%,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp%,sweeper_#opa,sweeper_#opa/90,sweeper_avgdist,season
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23,2000,20,13,1237,13.7,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.9,22,43,26,0.00,0.07,0.07,0.00,0.07,0.00,0.06,0.06,0.00,0.06,29,19,20,7,2,20,34,58.8,14,9,5,4,8,37,27,0,,,,,,,,,,,,,,,,450,581,77.5,7402,2789,220,248,88.7,188,235,80.0,34,63,54.0,1,0.8,0.9,+0.2,7,25,13,2,43,711,43,252,303,165,11,711,34,14,41.2,12,35.3,364,2174,1121,22,12,7,13,8,371,26,0,2,0,0.0,0.15,0.00,0.00,,23.9,0,0,0,0.02,0.0,0.0,0,12,26,2,13,8,19,0,1,0,75,5,11,31.3,23,1.68,16,4,0,0,3,0,2,0.15,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2023-2024
2,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22,2000,30,14,1267,14.1,2,2,4,2,0,0,3,1,2.0,2.0,1.9,3.8,37,56,91,0.14,0.14,0.28,0.14,0.28,0.14,0.13,0.27,0.14,0.27,32,18,13,13,6,16,32,50.0,16,26,1,25,2,34,4,0,,,,,,,,,,,,,,,,365,472,77.3,4890,1506,206,240,85.8,105,130,80.8,19,32,59.4,2,1.9,2.0,+0.1,22,30,14,3,56,675,11,108,301,293,47,675,77,34,44.2,41,53.2,406,2721,1387,37,29,9,41,38,457,91,2,18,7,38.9,1.28,0.50,0.11,0.29,18.4,0,0,0,0.11,0.0,0.0,1,15,25,5,22,2,18,0,0,0,88,13,16,44.8,53,3.76,41,1,8,3,0,0,8,0.57,6,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2023-2024
3,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19,2003,7,1,101,1.1,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,2,5,7,0.00,0.89,0.89,0.00,0.89,0.11,0.07,0.19,0.11,0.19,2,2,1,1,0,1,1,100.0,0,2,0,2,0,2,0,0,,,,,,,,,,,,,,,,41,50,82.0,576,71,20,25,80.0,20,22,90.9,0,2,0.0,1,0.1,0.1,+0.9,1,4,2,0,5,72,0,6,39,28,5,72,7,2,28.6,4,57.1,43,193,50,2,0,1,5,4,46,7,0,2,2,100.0,1.78,1.78,0.00,0.00,15.1,0,0,0,0.06,-0.1,-0.1,0,6,4,0,0,0,2,0,0,0,5,3,0,100.0,1,0.89,1,0,0,0,0,0,1,0.89,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2023-2024
4,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,17,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,1,1,100.0,8,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,,0,,1,3,0,0,0,0,0,0,1,0,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2023-2024
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35,1987,31,31,2781,30.9,4,0,4,3,1,1,5,0,3.4,2.6,0.3,2.9,36,137,9,0.13,0.00,0.13,0.10,0.10,0.11,0.01,0.12,0.09,0.09,64,35,36,23,5,26,45,57.8,19,51,32,19,39,103,109,2,,,,,,,,,,,,,,,,1552,1836,84.5,29618,9672,487,548,88.9,893,976,91.5,141,252,56.0,0,0.3,0.6,-0.3,8,129,3,0,137,2185,293,976,1119,114,35,2184,15,8,53.3,7,46.7,1506,8663,4921,36,19,0,23,4,1403,9,4,21,7,33.3,0.68,0.23,0.14,0.43,15.0,0,1,1,0.13,+0.6,+0.4,0,26,12,0,3,39,35,0,0,1,149,61,37,62.2,24,0.78,19,1,0,3,1,0,1,0.03,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2023-2024
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23,2000,27,17,1519,16.9,0,0,0,0,0,0,2,0,0.8,0.8,0.5,1.3,9,78,20,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,21,14,8,10,3,8,18,44.4,10,12,1,11,12,33,18,0,,,,,,,,,,,,,,,,796,895,88.9,12470,3008,393,433,90.8,330,360,91.7,41,54,75.9,0,0.5,1.1,-0.5,6,87,5,2,78,1022,21,168,647,218,7,1022,19,7,36.8,11,57.9,823,4361,1683,9,33,0,23,11,780,20,0,5,0,0.0,0.30,0.00,0.00,,21.6,0,0,0,0.17,-0.8,-0.8,0,34,16,0,3,12,14,0,3,0,89,2,7,22.2,27,1.60,27,0,0,0,0,0,3,0.18,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2023-2024
7,Nabil Aberdin,fr FRA,DF,Getafe,es La Liga,20,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,,,,,,,,,,,,,,,,60,79,75.9,1159,426,22,26,84.6,29,34,85.3,7,17,41.2,0,0.0,0.0,0.0,0,4,0,0,7,87,4,37,49,1,1,87,0,0,,0,,47,326,183,0,0,0,1,1,54,0,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,0,1,1,0,0,0,0,0,0,0,10,4,6,40.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2023-2024
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30,1993,33,32,2860,31.8,2,1,3,2,0,0,4,0,1.1,1.1,2.2,3.3,38,194,51,0.06,0.03,0.09,0.06,0.09,0.04,0.07,0.10,0.04,0.10,85,52,43,34,8,38,96,39.6,58,29,6,23,61,146,61,3,,,,,,,,,,,,,,,,1551,1836,84.5,27382,8613,629,707,89.0,711,802,88.7,150,233,64.4,1,2.2,1.9,-1.2,30,188,23,3,194,2164,105,553,1288,349,10,2164,65,44,67.7,18,27.7,1649,8707,3892,38,49,3,32,30,1502,51,2,26,11,42.3,0.82,0.35,0.08,0.18,26.5,0,0,0,0.04,+0.9,+0.9,0,36,36,1,34,61,52,0,0,0,226,15,14,51.7,81,2.55,67,3,2,1,2,6,5,0.16,3,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,2023-2024
9,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,20,2003,22,12,1044,11.6,5,0,5,5,0,0,1,0,3.8,3.8,2.0,5.8,28,20,87,0.43,0.00,0.43,0.43,0.43,0.33,0.17,0.50,0.33,0.50,9,4,4,3,2,3,8,37.5,5,3,0,3,3,12,5,0,,,,,,,,,,,,,,,,162,231,70.1,2410,448,91,128,71.1,52,68,76.5,9,11,81.8,0,2.0,0.9,-2.0,17,6,7,2,20,386,9,36,153,209,65,386,33,19,57.6,14,42.4,294,1979,906,28,24,14,50,14,287,87,5,42,19,45.2,3.62,1.64,0.12,0.26,17.4,0,0,0,0.09,+1.2,+1.2,0,10,13,6,7,3,4,1,0,0,39,15,27,35.7,38,3.28,30,0,5,2,1,0,2,0.17,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,2023-2024
10,Abner,br BRA,DF,Betis,es La Liga,23,2000,23,15,1400,15.6,0,1,1,0,0,0,3,0,0.1,0.1,1.0,1.1,14,33,58,0.00,0.06,0.06,0.00,0.06,0.01,0.06,0.07,0.01,0.07,25,19,15,9,1,17,34,50.0,17,23,5,18,15,40,62,0,,,,,,,,,,,,,,,,615,797,77.2,9211,4552,351,394,89.1,203,265,76.6,37,79,46.8,1,1.0,1.0,0.0,8,20,7,2,33,966,72,344,405,226,28,966,13,7,53.8,5,38.5,447,1802,949,14,10,5,18,11,502,58,0,4,0,0.0,0.26,0.00,0.00,,15.4,0,0,0,0.03,-0.1,-0.1,0,16,2,2,26,15,19,0,1,0,79,14,10,58.3,14,0.90,13,0,0,1,0,0,0,0.00,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2023-2024
