player,season,nation,age,Matches Played,Avg Mins per Match,Rating,Goals,Assists,Expected Goals,Progressive Passes,Tackles Won,Interceptions,Saves,prev_1_rating,prev_2_rating,rating_change_1yr,rolling_avg_3yr,Goals_per_90,Assists_per_90,Expected Goals_per_90,Progressive Passes_per_90,Tackles Won_per_90,Interceptions_per_90,Saves_per_90,age_squared,pos_DF,pos_FW,pos_GK,pos_MF,next_season_rating
Iker Muñoz,2022,Spain,19,8,254.0,6.658616674310524,0,0,0.1,12,0,3,0,,,,6.658616674310524,0.0,0.0,0.03543307086614174,4.251968503937007,0.0,1.0629921259842519,0.0,361,False,False,False,True,6.840000000000001
Ilaix Moriba,2020,Guinea,17,14,542.0,6.94,1,2,0.8,25,6,5,0,,,,6.94,0.16605166051660517,0.33210332103321033,0.13284132841328414,4.1512915129151295,0.9963099630996309,0.8302583025830258,0.0,289,False,False,False,True,6.68
Ilaix Moriba,2021,Guinea,18,16,425.0,6.68,0,0,0.7,35,18,13,0,6.94,,,6.8100000000000005,0.0,0.0,0.14823529411764705,7.411764705882353,3.8117647058823527,2.7529411764705882,0.0,324,False,False,False,True,6.75
Ilaix Moriba,2022,Guinea,19,24,1011.0,6.75,0,2,1.2,67,16,4,0,6.68,6.94,-0.2600000000000007,6.79,0.0,0.17804154302670622,0.10682492581602374,5.964391691394659,1.4243323442136497,0.35608308605341243,0.0,361,False,False,False,True,6.75
Ilias Akhomach,2021,Morocco,17,2,124.0,6.651358701895493,0,0,0.1,11,0,0,0,,,,6.651358701895493,0.0,0.0,0.07258064516129033,7.983870967741936,0.0,0.0,0.0,289,False,True,False,False,6.77
Ilija Nestorovski,2019,North Macedonia,29,28,1251.0,6.709999999999999,3,1,3.7,36,7,4,0,,,,6.709999999999999,0.2158273381294964,0.07194244604316546,0.26618705035971224,2.589928057553957,0.5035971223021583,0.28776978417266186,0.0,841,False,True,False,False,6.65
Ilija Nestorovski,2020,North Macedonia,30,22,701.0,6.65,2,2,4.7,13,4,1,0,6.709999999999999,,,6.68,0.25677603423680456,0.25677603423680456,0.6034236804564908,1.66904422253923,0.5135520684736091,0.12838801711840228,0.0,900,False,True,False,False,6.672240766035958
Ilija Nestorovski,2021,North Macedonia,31,7,188.0,6.672240766035958,1,0,0.8,10,0,0,0,6.65,6.709999999999999,-0.05999999999999872,6.677413588678653,0.4787234042553191,0.0,0.3829787234042553,4.787234042553192,0.0,0.0,0.0,961,False,True,False,False,6.769999999999999
Illan Meslier,2020,France,20,35,3150.0,7.13,0,0,0.0,0,0,0,137,,,,7.13,0.0,0.0,0.0,0.0,0.0,0.0,3.914285714285714,400,False,False,True,False,6.87
Illan Meslier,2021,France,21,38,3384.0,6.87,0,0,0.0,0,1,0,142,7.13,,,7.0,0.0,0.0,0.0,0.0,0.026595744680851064,0.0,3.7765957446808507,441,False,False,True,False,6.65
Illia Zabarnyi,2022,Ukraine,19,5,299.0,6.656382401808025,0,0,0.0,11,2,3,0,,,,6.656382401808025,0.0,0.0,0.0,3.3110367892976593,0.6020066889632107,0.9030100334448161,0.0,361,True,False,False,False,6.76
Isaac Hayden,2017,England,22,26,1374.0,6.610000000000001,1,0,1.0,45,23,23,0,,,,6.610000000000001,0.06550218340611354,0.0,0.06550218340611354,2.947598253275109,1.5065502183406114,1.5065502183406114,0.0,484,False,False,False,True,6.92
