Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
Cristiano Ronaldo,7.74,53,60.92,16,9,365,Juventus,Serie A,2019-2020
Papu Gómez,7.64,63,58.88,10,16,576,Atalanta,Serie A,2019-2020
Josip Iličić,7.62,59,55.66,6,13,359,Atalanta,Serie A,2019-2020
Luis Alberto,7.6,73,68.22,2,21,645,Lazio,Serie A,2019-2020
Ciro Immobile,7.54,23,41.82,20,7,390,Lazio,Serie A,2019-2020
Paulo Dybala,7.47,65,60.75,8,13,410,Juventus,Serie A,2019-2020
Domenico Berardi,7.47,39,51.32,8,15,471,Sassuolo,Serie A,2019-2020
Rodrigo de Paul,7.44,62,67.39,4,17,638,Udinese,Serie A,2019-2020
Zlatan Ibrahimović,7.4,13,65.0,11,6,253,Milan,Serie A,2019-2020
Hakan Çalhanoğlu,7.35,28,62.22,6,13,475,Milan,Serie A,2019-2020
Edin Džeko,7.32,35,53.85,21,9,412,Roma,Serie A,2019-2020
Lorenzo Insigne,7.31,57,53.77,9,9,507,Napoli,Serie A,2019-2020
Lorenzo Pellegrini,7.3,25,54.35,5,15,412,Roma,Serie A,2019-2020
Radja Nainggolan,7.29,39,60.94,3,10,404,Cagliari,Serie A,2019-2020
Duván Zapata,7.28,23,46.94,16,12,327,Atalanta,Serie A,2019-2020
Erick Pulgar,7.26,10,66.67,1,6,404,Fiorentina,Serie A,2019-2020
Filippo Falco,7.25,60,71.43,0,5,306,Lecce,Serie A,2019-2020
Francesco Acerbi,7.25,13,92.86,1,3,249,Lazio,Serie A,2019-2020
Fabián Ruiz,7.24,33,73.33,2,8,306,Napoli,Serie A,2019-2020
Suso,7.24,25,53.19,0,5,254,Milan,Serie A,2019-2020
Alessio Cragno,7.22,0,0.0,0,0,167,Cagliari,Serie A,2019-2020
Miralem Pjanić,7.22,15,62.5,0,3,297,Juventus,Serie A,2019-2020
Manuel Locatelli,7.22,51,77.27,1,6,396,Sassuolo,Serie A,2019-2020
Francesco Caputo,7.21,23,63.89,10,10,288,Sassuolo,Serie A,2019-2020
Miguel Veloso,7.21,29,87.88,2,10,475,Hellas Verona,Serie A,2019-2020
Romelu Lukaku,7.19,21,55.26,16,5,414,Inter,Serie A,2019-2020
Marcelo Brozović,7.18,27,77.14,4,2,331,Inter,Serie A,2019-2020
Gastón Ramírez,7.17,47,72.31,4,6,291,U.C Sampdoria,Serie A,2019-2020
Juan Cuadrado,7.17,42,59.15,0,6,384,Juventus,Serie A,2019-2020
Aleksandar Kolarov,7.17,19,54.29,4,4,432,Roma,Serie A,2019-2020
Dries Mertens,7.17,23,57.5,6,8,244,Napoli,Serie A,2019-2020
Ruslan Malinovskyi,7.17,49,72.06,2,6,344,Atalanta,Serie A,2019-2020
Juan Musso,7.16,1,100.0,0,0,281,Udinese,Serie A,2019-2020
Musa Barrow,7.16,37,62.71,7,5,305,Bologna,Serie A,2019-2020
Alexis Sánchez,7.16,22,75.86,2,5,174,Inter,Serie A,2019-2020
Luis Muriel,7.15,30,52.63,8,11,303,Atalanta,Serie A,2019-2020
Andrea Belotti,7.15,47,57.32,12,8,464,Torino,Serie A,2019-2020
Sergej Milinković-Savić,7.14,41,70.69,3,8,584,Lazio,Serie A,2019-2020
Dejan Kulusevski,7.14,76,58.02,2,13,557,Parma,Serie A,2019-2020
Robin Gosens,7.13,17,41.46,4,4,431,Atalanta,Serie A,2019-2020
Henrikh Mkhitaryan,7.13,21,47.73,4,5,202,Roma,Serie A,2019-2020
Federico Chiesa,7.13,52,57.14,12,8,385,Fiorentina,Serie A,2019-2020
Chris Smalling,7.12,7,77.78,3,0,153,Roma,Serie A,2019-2020
Wojciech Szczęsny,7.11,0,0.0,0,0,103,Juventus,Serie A,2019-2020
Rodrigo Bentancur,7.11,36,67.92,0,6,274,Juventus,Serie A,2019-2020
Fabio Quagliarella,7.11,13,72.22,8,5,276,U.C Sampdoria,Serie A,2019-2020
Robin Olsen,7.11,0,0.0,0,0,170,Cagliari,Serie A,2019-2020
Jesse Joronen,7.1,0,0.0,0,0,269,Brescia,Serie A,2019-2020
Joaquín Correa,7.1,52,68.42,12,5,253,Lazio,Serie A,2019-2020
João Pedro Galvão,7.1,25,48.08,13,3,358,Cagliari,Serie A,2019-2020
Antonio Candreva,7.1,11,50.0,1,6,382,Inter,Serie A,2019-2020
Davide Faraoni,7.09,28,48.28,3,7,599,Hellas Verona,Serie A,2019-2020
Diego Godín,7.09,15,100.0,0,1,197,Inter,Serie A,2019-2020
Theo Hernández,7.09,57,53.77,8,6,474,Milan,Serie A,2019-2020
Sandro Tonali,7.09,39,78.0,0,11,551,Brescia,Serie A,2019-2020
Simone Verdi,7.08,50,62.5,4,7,393,Torino,Serie A,2019-2020
Andreas Cornelius,7.07,12,66.67,6,3,250,Parma,Serie A,2019-2020
Gianluca Lapadula,7.06,17,60.71,4,2,191,Lecce,Serie A,2019-2020
Luigi Sepe,7.06,0,0.0,0,1,272,Parma,Serie A,2019-2020
Mário Rui,7.06,24,68.57,0,8,410,Napoli,Serie A,2019-2020
Manolo Gabbiadini,7.06,12,46.15,6,3,303,U.C Sampdoria,Serie A,2019-2020
Marco Silvestri,7.05,1,100.0,0,0,533,Hellas Verona,Serie A,2019-2020
Mario Pašalić,7.05,21,58.33,12,6,267,Atalanta,Serie A,2019-2020
Álex Berenguer,7.05,65,62.5,1,5,355,Torino,Serie A,2019-2020
Stefan de Vrij,7.05,8,88.89,0,0,150,Inter,Serie A,2019-2020
Cristiano Biraghi,7.05,10,45.45,0,6,306,Inter,Serie A,2019-2020
Franck Ribéry,7.05,53,62.35,3,4,260,Fiorentina,Serie A,2019-2020
Etrit Berisha,7.05,1,100.0,0,0,260,SPAL,Serie A,2019-2020
José Callejón,7.04,9,31.03,8,9,299,Napoli,Serie A,2019-2020
Luca Cigarini,7.04,7,87.5,0,5,278,Cagliari,Serie A,2019-2020
Alessio Romagnoli,7.03,2,50.0,1,3,198,Milan,Serie A,2019-2020
Christian Eriksen,7.03,6,75.0,1,4,139,Inter,Serie A,2019-2020
Matteo Scozzarella,7.03,6,66.67,0,0,132,Parma,Serie A,2019-2020
Arkadiusz Milik,7.03,7,46.67,8,2,147,Napoli,Serie A,2019-2020
Gonzalo Higuaín,7.03,23,65.71,7,7,190,Juventus,Serie A,2019-2020
Ashley Young,7.03,14,70.0,1,5,161,Inter,Serie A,2019-2020
Lautaro Martínez,7.03,40,47.06,13,5,397,Inter,Serie A,2019-2020
Andrea Petagna,7.03,54,70.13,5,5,445,SPAL,Serie A,2019-2020
Jordan Veretout,7.02,29,78.38,0,4,269,Roma,Serie A,2019-2020
Kalidou Koulibaly,7.02,11,55.0,2,0,175,Napoli,Serie A,2019-2020
José Luis Palomino,7.01,7,87.5,3,2,248,Atalanta,Serie A,2019-2020
Nikola Maksimović,7.01,9,64.29,0,1,117,Napoli,Serie A,2019-2020
Cengiz Ünder,7.01,32,76.19,1,3,150,Roma,Serie A,2019-2020
Piotr Zieliński,7.01,45,64.29,3,6,377,Napoli,Serie A,2019-2020
Gianluigi Donnarumma,7.0,0,0.0,0,0,260,Milan,Serie A,2019-2020
Luca Ceppitelli,6.99,0,0.0,1,0,132,Cagliari,Serie A,2019-2020
Giovanni Di Lorenzo,6.99,21,63.64,1,3,367,Napoli,Serie A,2019-2020
Ismaël Bennacer,6.99,73,79.35,1,1,327,Milan,Serie A,2019-2020
Luiz Felipe,6.99,6,75.0,0,1,157,Lazio,Serie A,2019-2020
Riccardo Saponara,6.99,22,52.38,1,4,210,Lecce,Serie A,2019-2020
