Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
Lionel Messi,8.33,160,64.52,11,22,694,Barcelona,La Liga,2020-2021
Toni Kroos,7.68,16,88.89,3,11,253,Real Madrid,La Liga,2020-2021
Gerard Moreno,7.56,71,62.28,10,14,551,Villarreal,La Liga,2020-2021
Iago Aspas,7.46,60,70.59,7,16,409,Celta Vigo,La Liga,2020-2021
Karim Benzema,7.44,39,62.9,19,10,328,Real Madrid,La Liga,2020-2021
Dani Parejo,7.34,37,75.51,0,7,399,Villarreal,La Liga,2020-2021
Luka Modrić,7.31,55,74.32,0,7,428,Real Madrid,La Liga,2020-2021
Kieran Trippier,7.29,19,76.0,0,7,450,Atlético Madrid,La Liga,2020-2021
Carlos Soler,7.29,25,64.1,3,10,367,Valencia,La Liga,2020-2021
Casemiro,7.27,13,56.52,5,4,409,Real Madrid,La Liga,2020-2021
Lucas Vázquez,7.25,32,71.11,2,5,315,Real Madrid,La Liga,2020-2021
Luis Suárez,7.25,13,39.39,11,5,282,Atlético Madrid,La Liga,2020-2021
Sergio Ramos,7.25,5,71.43,4,1,99,Real Madrid,La Liga,2020-2021
Antoine Griezmann,7.24,26,70.27,13,9,255,Barcelona,La Liga,2020-2021
Sergio Canales,7.22,32,74.42,4,13,363,Real Betis,La Liga,2020-2021
Mikel Oyarzabal,7.21,23,46.0,6,10,425,Real Sociedad,La Liga,2020-2021
Marcos Llorente,7.21,39,59.09,1,10,389,Atlético Madrid,La Liga,2020-2021
Jordi Alba,7.19,17,53.13,1,13,518,Barcelona,La Liga,2020-2021
Jan Oblak,7.17,1,100.0,0,0,363,Atlético Madrid,La Liga,2020-2021
Frenkie de Jong,7.16,58,86.57,6,9,319,Barcelona,La Liga,2020-2021
Javi Galán,7.14,121,80.13,0,6,554,Huesca,La Liga,2020-2021
David Silva,7.13,31,65.96,3,6,201,Real Sociedad,La Liga,2020-2021
Mikel Merino,7.13,31,67.39,4,5,394,Real Sociedad,La Liga,2020-2021
Suso,7.12,58,84.06,1,5,335,Sevilla,La Liga,2020-2021
Jesús Navas,7.12,23,76.67,2,10,486,Sevilla,La Liga,2020-2021
Joselu,7.12,28,50.91,13,5,605,Deportivo Alavés,La Liga,2020-2021
Kike García,7.11,36,66.67,8,3,538,Eibar,La Liga,2020-2021
Daniel Carvajal,7.08,8,57.14,1,2,165,Real Madrid,La Liga,2020-2021
Jules Koundé,7.08,30,75.0,1,2,313,Sevilla,La Liga,2020-2021
Raphaël Varane,7.06,5,100.0,0,1,210,Real Madrid,La Liga,2020-2021
Yannick Carrasco,7.06,66,55.0,3,7,445,Atlético Madrid,La Liga,2020-2021
Sergio Busquets,7.06,8,88.89,1,6,273,Barcelona,La Liga,2020-2021
Thibaut Courtois,7.05,0,0.0,0,0,238,Real Madrid,La Liga,2020-2021
