Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
Raúl de Tomás,6.97,48,59.26,16,2,293,Rayo Vallecano,La Liga,2018-2019
Jonathan Silva,6.97,12,48.0,3,9,516,Leganés,La Liga,2018-2019
Marc Bartra,6.97,13,59.09,1,0,343,Real Betis,La Liga,2018-2019
Rúben Vezo,6.96,6,60.0,1,4,165,Levante UD,La Liga,2018-2019
David Soria,6.96,1,100.0,0,0,631,Getafe,La Liga,2018-2019
André Silva,6.96,14,32.56,9,10,305,Sevilla,La Liga,2018-2019
Néstor Araujo,6.96,2,100.0,1,1,220,Celta Vigo,La Liga,2018-2019
Iñigo Martínez,6.96,4,80.0,3,1,355,Athletic Club,La Liga,2018-2019
Jorge Miramón,6.96,34,65.38,1,2,432,Huesca,La Liga,2018-2019
Raúl Navas,6.96,4,100.0,0,0,128,Real Sociedad,La Liga,2018-2019
Míchel Herrero,6.95,21,72.41,1,7,429,Real Valladolid,La Liga,2018-2019
Filipe Luís,6.95,23,76.67,0,2,326,Atlético Madrid,La Liga,2018-2019
Yuri Berchiche,6.95,33,58.93,0,3,463,Athletic Club,La Liga,2018-2019
Saúl Ñíguez,6.95,34,65.38,4,3,491,Atlético Madrid,La Liga,2018-2019
Roberto Rosales,6.95,12,54.55,0,2,347,Espanyol,La Liga,2018-2019
Gerard Moreno,6.95,32,50.0,16,4,387,Villarreal,La Liga,2018-2019
Ximo Navarro,6.95,15,71.43,0,1,281,Deportivo Alavés,La Liga,2018-2019
Marcelo,6.95,33,67.35,1,6,353,Real Madrid,La Liga,2018-2019
Diego Godín,6.94,10,90.91,4,1,225,Atlético Madrid,La Liga,2018-2019
Chimy Ávila,6.94,22,47.83,4,4,400,Huesca,La Liga,2018-2019
Pedro Alcalá,6.94,4,80.0,1,1,197,Girona FC,La Liga,2018-2019
Okay Yokuşlu,6.94,28,70.0,0,1,263,Celta Vigo,La Liga,2018-2019
Vitorino Antunes,6.94,22,64.71,0,4,549,Getafe,La Liga,2018-2019
Raúl García,6.93,12,46.15,2,5,529,Athletic Club,La Liga,2018-2019
Sergi Darder,6.93,33,60.0,2,6,392,Espanyol,La Liga,2018-2019
Rubén Alcaraz,6.93,23,76.67,4,2,404,Real Valladolid,La Liga,2018-2019
Esteban Granero,6.93,33,84.62,0,2,281,Espanyol,La Liga,2018-2019
Enric Gallego,6.93,14,35.0,3,4,292,Huesca,La Liga,2018-2019
Raphaël Varane,6.93,5,83.33,0,1,214,Real Madrid,La Liga,2018-2019
Adnan Januzaj,6.93,65,61.9,2,4,350,Real Sociedad,La Liga,2018-2019
Sergi Enrich,6.93,10,71.43,10,2,395,Eibar,La Liga,2018-2019
Dimitrios Siovas,6.92,12,63.16,3,3,461,Leganés,La Liga,2018-2019
Vinícius Júnior,6.92,41,58.57,5,2,176,Real Madrid,La Liga,2018-2019
Neto,6.92,0,0.0,0,0,362,Valencia,La Liga,2018-2019
Clément Lenglet,6.92,6,100.0,3,0,131,Barcelona,La Liga,2018-2019
Leandro Cabrera,6.91,2,40.0,1,0,588,Getafe,La Liga,2018-2019
Adrián Embarba,6.91,48,48.0,3,8,526,Rayo Vallecano,La Liga,2018-2019
David López,6.91,6,66.67,1,0,154,Espanyol,La Liga,2018-2019
José Luis Gayà,6.91,39,57.35,1,2,461,Valencia,La Liga,2018-2019
Bernardo Espinosa,6.91,3,100.0,2,1,213,Girona FC,La Liga,2018-2019
Vicente Iborra,6.91,7,41.18,1,2,200,Villarreal,La Liga,2018-2019
Oier Olazábal,6.9,0,0.0,0,0,226,Levante UD,La Liga,2018-2019
Youssef En-Nesyri,6.9,27,42.86,7,2,393,Leganés,La Liga,2018-2019
Junior Firpo,6.9,31,68.89,4,2,288,Real Betis,La Liga,2018-2019
Álvaro González,6.9,0,0.0,2,2,331,Villarreal,La Liga,2018-2019
Aritz Elustondo,6.9,16,84.21,1,1,292,Real Sociedad,La Liga,2018-2019
William Carvalho,6.9,43,74.14,1,3,285,Real Betis,La Liga,2018-2019
Aitor Fernández,6.9,0,0.0,0,1,182,Levante UD,La Liga,2018-2019
Víctor Ruiz,6.9,9,90.0,0,1,188,Villarreal,La Liga,2018-2019
Marc-André ter Stegen,6.9,1,100.0,0,0,154,Barcelona,La Liga,2018-2019
Daniel Wass,6.9,10,58.82,1,7,371,Valencia,La Liga,2018-2019
Sergi Gómez,6.9,0,0.0,0,0,232,Sevilla,La Liga,2018-2019
Santi Mina,6.9,12,38.71,7,7,262,Valencia,La Liga,2018-2019
Kenneth Omeruo,6.9,8,88.89,0,0,216,Leganés,La Liga,2018-2019
Dani Ceballos,6.9,14,43.75,1,1,155,Real Madrid,La Liga,2018-2019
Munir El Haddadi,6.9,14,56.0,6,2,171,Sevilla,La Liga,2018-2019
Emiliano Velázquez,6.89,15,88.24,0,1,198,Rayo Vallecano,La Liga,2018-2019
Karl Toko Ekambi,6.89,52,57.78,10,3,295,Villarreal,La Liga,2018-2019
Marc Muniesa,6.89,11,91.67,0,0,199,Girona FC,La Liga,2018-2019
Beñat Etxebarria,6.89,9,60.0,0,4,301,Athletic Club,La Liga,2018-2019
Hugo Mallo,6.89,22,61.11,3,5,645,Celta Vigo,La Liga,2018-2019
Unai Bustinza,6.89,3,75.0,0,0,353,Leganés,La Liga,2018-2019
Asier Illarramendi,6.89,7,70.0,0,3,245,Real Sociedad,La Liga,2018-2019
Fernando Pacheco,6.88,0,0.0,0,0,461,Deportivo Alavés,La Liga,2018-2019
Damián Suárez,6.88,23,52.27,0,3,765,Getafe,La Liga,2018-2019
Roberto Santamaría,6.88,0,0.0,0,0,281,Huesca,La Liga,2018-2019
Óscar Rodríguez,6.88,36,45.57,2,7,477,Leganés,La Liga,2018-2019
Mariano Díaz,6.88,1,25.0,0,2,44,Real Madrid,La Liga,2018-2019
