Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
Hakan Çalhanoğlu,7.68,7,50.0,0,5,312,Inter,Serie A,2023-2024
Mile Svilar,7.51,1,100.0,0,0,79,Roma,Serie A,2023-2024
Lautaro Martínez,7.5,19,32.76,13,7,331,Inter,Serie A,2023-2024
Khvicha Kvaratskhelia,7.48,101,50.75,14,11,452,Napoli,Serie A,2023-2024
Michele Di Gregorio,7.45,3,100.0,0,0,299,Monza,Serie A,2023-2024
Domenico Berardi,7.42,11,44.0,2,4,303,Sassuolo,Serie A,2023-2024
Paulo Dybala,7.42,28,39.44,5,10,369,Roma,Serie A,2023-2024
Rafael Leão,7.42,77,55.8,7,18,446,Milan,Serie A,2023-2024
Federico Dimarco,7.35,6,33.33,2,14,349,Inter,Serie A,2023-2024
Alessandro Bastoni,7.35,10,55.56,1,10,295,Inter,Serie A,2023-2024
Luis Alberto,7.31,25,60.98,3,9,452,Lazio,Serie A,2023-2024
Marcus Thuram,7.3,33,75.0,11,6,311,Inter,Serie A,2023-2024
Charles De Ketelaere,7.28,40,53.33,4,11,399,Atalanta,Serie A,2023-2024
Danilo,7.27,8,88.89,1,1,275,Juventus,Serie A,2023-2024
Matías Soulé,7.26,102,50.25,6,8,632,Frosinone,Serie A,2023-2024
Ademola Lookman,7.25,39,51.32,8,10,351,Atalanta,Serie A,2023-2024
Christian Pulišić,7.25,47,46.53,4,7,405,Milan,Serie A,2023-2024
Victor Osimhen,7.25,16,45.71,15,5,215,Napoli,Serie A,2023-2024
Benjamin Pavard,7.25,2,66.67,1,2,136,Inter,Serie A,2023-2024
Matteo Politano,7.25,31,44.29,3,14,411,Napoli,Serie A,2023-2024
Giovanni Di Lorenzo,7.24,18,33.96,2,5,507,Napoli,Serie A,2023-2024
Albert Guðmundsson,7.24,42,50.6,6,6,495,Genoa,Serie A,2023-2024
Elia Caprile,7.23,0,0.0,0,1,266,Empoli,Serie A,2023-2024
Adrien Rabiot,7.23,28,57.14,2,6,310,Juventus,Serie A,2023-2024
Henrikh Mkhitaryan,7.22,19,52.78,4,6,303,Inter,Serie A,2023-2024
Nicolás González,7.21,34,41.98,10,3,353,Fiorentina,Serie A,2023-2024
Gianluca Scamacca,7.2,15,57.69,6,6,272,Atalanta,Serie A,2023-2024
Antonio Candreva,7.19,15,41.67,3,7,459,Salernitana,Serie A,2023-2024
Giacomo Bonaventura,7.19,30,65.22,3,4,289,Fiorentina,Serie A,2023-2024
Riccardo Calafiori,7.19,13,65.0,1,2,239,Bologna,Serie A,2023-2024
Teun Koopmeiners,7.19,19,39.58,6,9,462,Atalanta,Serie A,2023-2024
Lewis Ferguson,7.19,14,48.28,6,2,267,Bologna,Serie A,2023-2024
Mike Maignan,7.19,1,100.0,0,1,196,Milan,Serie A,2023-2024
Duván Zapata,7.19,38,37.62,9,3,530,Torino,Serie A,2023-2024
Tijjani Noslin,7.18,8,33.33,4,1,185,Hellas Verona,Serie A,2023-2024
Mattia Zaccagni,7.18,54,59.34,3,2,321,Lazio,Serie A,2023-2024
Theo Hernández,7.18,37,53.62,4,6,365,Milan,Serie A,2023-2024
Lorenzo Pellegrini,7.17,19,54.29,1,5,264,Roma,Serie A,2023-2024
Vanja Milinković-Savić,7.16,0,0.0,0,0,553,Torino,Serie A,2023-2024
Olivier Giroud,7.16,3,33.33,11,10,233,Milan,Serie A,2023-2024
Francesco Acerbi,7.16,2,66.67,1,2,172,Inter,Serie A,2023-2024
Yann Sommer,7.15,0,0.0,0,0,158,Inter,Serie A,2023-2024
Pietro Terracciano,7.15,0,0.0,0,1,254,Fiorentina,Serie A,2023-2024
Marco Carnesecchi,7.14,0,0.0,0,0,261,Atalanta,Serie A,2023-2024
Bremer,7.14,10,76.92,2,0,298,Juventus,Serie A,2023-2024
Manuel Locatelli,7.14,13,72.22,0,2,327,Juventus,Serie A,2023-2024
Alessandro Buongiorno,7.13,0,0.0,1,0,210,Torino,Serie A,2023-2024
Federico Chiesa,7.12,35,42.17,9,12,369,Juventus,Serie A,2023-2024
Joshua Zirkzee,7.12,52,41.94,4,11,466,Bologna,Serie A,2023-2024
Ivan Provedel,7.12,1,50.0,0,0,189,Lazio,Serie A,2023-2024
Arthur,7.12,11,73.33,0,1,164,Fiorentina,Serie A,2023-2024
Yann Bisseck,7.11,5,41.67,0,1,74,Inter,Serie A,2023-2024
Aleksei Miranchuk,7.11,17,38.64,10,9,252,Atalanta,Serie A,2023-2024
Leandro Paredes,7.11,8,57.14,0,3,279,Roma,Serie A,2023-2024
Jhon Lucumí,7.11,8,80.0,1,0,147,Bologna,Serie A,2023-2024
Lucas Martínez Quarta,7.1,13,50.0,2,3,347,Fiorentina,Serie A,2023-2024
Piotr Zieliński,7.1,16,50.0,1,5,272,Napoli,Serie A,2023-2024
Bryan Cristante,7.09,17,68.0,4,5,449,Roma,Serie A,2023-2024
Mathías Olivera,7.09,11,68.75,0,0,187,Napoli,Serie A,2023-2024
Cristiano Biraghi,7.09,4,30.77,1,8,484,Fiorentina,Serie A,2023-2024
Éderson,7.09,22,55.0,3,2,361,Atalanta,Serie A,2023-2024
Tijjani Reijnders,7.09,35,67.31,3,2,272,Milan,Serie A,2023-2024
Etrit Berisha,7.09,0,0.0,0,0,156,Empoli,Serie A,2023-2024
Amir Rrahmani,7.08,10,76.92,4,1,243,Napoli,Serie A,2023-2024
Andrea Colpani,7.08,28,41.18,5,7,365,Monza,Serie A,2023-2024
Wladimiro Falcone,7.08,0,0.0,0,0,368,Lecce,Serie A,2023-2024
Felipe Anderson,7.08,43,44.33,4,11,491,Lazio,Serie A,2023-2024
Nicolò Barella,7.08,29,54.72,7,5,430,Inter,Serie A,2023-2024
Yacine Adli,7.07,22,73.33,0,2,212,Milan,Serie A,2023-2024
Josep Martínez,7.07,3,100.0,0,0,413,Genoa,Serie A,2023-2024
Maduka Okoye,7.07,0,0.0,0,0,177,Udinese,Serie A,2023-2024
Riccardo Orsolini,7.06,31,43.66,8,11,358,Bologna,Serie A,2023-2024
Ondrej Duda,7.06,21,61.76,1,4,389,Hellas Verona,Serie A,2023-2024
Mario Gila Fuentes,7.06,9,69.23,0,1,155,Lazio,Serie A,2023-2024
Wojciech Szczęsny,7.06,1,100.0,0,0,227,Juventus,Serie A,2023-2024
Lorenzo Montipò,7.06,0,0.0,0,0,491,Hellas Verona,Serie A,2023-2024
Ismaël Bennacer,7.05,17,62.96,0,3,153,Milan,Serie A,2023-2024
Morten Frendrup,7.05,16,66.67,1,4,323,Genoa,Serie A,2023-2024
Marten de Roon,7.04,3,37.5,0,1,298,Atalanta,Serie A,2023-2024
Dušan Vlahović,7.04,18,43.9,19,3,300,Juventus,Serie A,2023-2024
Johan Vásquez,7.04,10,58.82,1,1,370,Genoa,Serie A,2023-2024
Lazar Samardžić,7.04,47,48.96,1,6,382,Udinese,Serie A,2023-2024
Armand Laurienté,7.04,63,53.85,5,5,479,Sassuolo,Serie A,2023-2024
Alberto Dossena,7.03,5,62.5,3,4,298,Cagliari,Serie A,2023-2024
Nikola Vlašić,7.03,28,63.64,1,3,302,Torino,Serie A,2023-2024
Mario Pašalić,7.03,12,50.0,8,7,217,Atalanta,Serie A,2023-2024
Michael Kayode,7.03,22,51.16,0,1,301,Fiorentina,Serie A,2023-2024
Alexis Saelemaekers,7.03,40,40.82,3,1,359,Bologna,Serie A,2023-2024
Romelu Lukaku,7.03,11,45.83,10,5,285,Roma,Serie A,2023-2024
Milan Đurić,7.02,4,57.14,5,5,357,Monza,Serie A,2023-2024
Ruben Loftus-Cheek,7.02,30,60.0,0,1,193,Milan,Serie A,2023-2024
Daichi Kamada,7.02,14,66.67,1,5,158,Lazio,Serie A,2023-2024
Alessandro Florenzi,7.02,1,8.33,0,3,255,Milan,Serie A,2023-2024
Alexis Sánchez,7.02,12,60.0,1,7,136,Inter,Serie A,2023-2024
Raoul Bellanova,7.02,43,55.13,1,10,454,Torino,Serie A,2023-2024
Stefan de Vrij,7.02,2,100.0,0,0,85,Inter,Serie A,2023-2024
Nicolas Viola,7.02,16,47.06,3,9,287,Cagliari,Serie A,2023-2024
Fikayo Tomori,7.02,2,50.0,1,0,157,Milan,Serie A,2023-2024
Federico Gatti,7.01,9,47.37,6,4,251,Juventus,Serie A,2023-2024
Remo Freuler,7.01,8,72.73,2,1,226,Bologna,Serie A,2023-2024
Rémi Oudin,7.01,4,36.36,0,8,356,Lecce,Serie A,2023-2024
Alex Sandro,7.01,3,50.0,0,1,90,Juventus,Serie A,2023-2024
Giorgio Scalvini,7.01,15,78.95,1,2,331,Atalanta,Serie A,2023-2024
Matteo Pessina,7.0,14,48.28,2,0,341,Monza,Serie A,2023-2024
Riccardo Sottil,7.0,21,52.5,3,4,162,Fiorentina,Serie A,2023-2024
Weston McKennie,7.0,18,38.3,4,5,365,Juventus,Serie A,2023-2024
Nicolò Cambiaghi,6.99,29,41.43,4,3,352,Empoli,Serie A,2023-2024
Berat Djimsiti,6.99,1,50.0,1,1,218,Atalanta,Serie A,2023-2024
Luca Mazzitelli,6.99,11,64.71,0,2,386,Frosinone,Serie A,2023-2024
Leonardo Pavoletti,6.99,0,0.0,1,0,101,Cagliari,Serie A,2023-2024
Jaka Bijol,6.99,0,0.0,1,0,184,Udinese,Serie A,2023-2024
Frank Anguissa,6.99,25,44.64,5,6,358,Napoli,Serie A,2023-2024
Nehuén Pérez,6.98,9,64.29,2,0,362,Udinese,Serie A,2023-2024
Patrick Ciurria,6.98,9,45.0,1,6,222,Monza,Serie A,2023-2024
Cyril Ngonge,6.98,37,48.05,7,5,295,Napoli,Serie A,2023-2024
Giacomo Raspadori,6.98,14,50.0,3,8,252,Napoli,Serie A,2023-2024
Gianluca Mancini,6.98,4,80.0,1,2,282,Roma,Serie A,2023-2024
Radu Drăguşin,6.97,0,0.0,1,1,139,Genoa,Serie A,2023-2024
Grīgorīs Kastanos,6.97,13,54.17,1,3,264,Salernitana,Serie A,2023-2024
Andrea Carboni,6.97,3,50.0,3,0,162,Monza,Serie A,2023-2024
Fabiano Parisi,6.97,24,68.57,2,4,230,Fiorentina,Serie A,2023-2024
Ivan Ilić,6.97,18,54.55,3,8,297,Torino,Serie A,2023-2024
Roberto Gagliardini,6.97,8,53.33,6,2,198,Monza,Serie A,2023-2024
Gabriel Strefezza,6.97,15,50.0,1,3,179,Lecce,Serie A,2023-2024
Alfred Duncan,6.97,20,55.56,2,1,283,Fiorentina,Serie A,2023-2024
Stanislav Lobotka,6.97,15,57.69,1,2,247,Napoli,Serie A,2023-2024
Giangiacomo Magnani,6.97,8,80.0,0,1,230,Hellas Verona,Serie A,2023-2024
Łukasz Skorupski,6.97,0,0.0,0,0,222,Bologna,Serie A,2023-2024
Patric,6.97,0,0.0,0,0,152,Lazio,Serie A,2023-2024
Alessio Romagnoli,6.96,0,0.0,1,1,165,Lazio,Serie A,2023-2024
Carlos Augusto,6.96,12,66.67,1,6,222,Inter,Serie A,2023-2024
Matteo Gabbia,6.96,2,100.0,1,1,94,Milan,Serie A,2023-2024
Samuele Ricci,6.95,9,33.33,0,4,240,Torino,Serie A,2023-2024
Nikola Krstović,6.95,29,52.73,12,4,339,Lecce,Serie A,2023-2024
Stefan Posch,6.95,11,45.83,0,5,425,Bologna,Serie A,2023-2024
Andrea Belotti,6.94,8,47.06,8,5,189,Fiorentina,Serie A,2023-2024
Evan Ndicka,6.94,2,66.67,2,3,162,Roma,Serie A,2023-2024
Diego Llorente,6.94,3,50.0,0,1,164,Roma,Serie A,2023-2024
Filip Kostić,6.93,6,28.57,1,10,334,Juventus,Serie A,2023-2024
Kristjan Asllani,6.93,3,60.0,0,3,95,Inter,Serie A,2023-2024
Andrea Pinamonti,6.93,12,42.86,3,4,338,Sassuolo,Serie A,2023-2024
Ricardo Rodríguez,6.92,8,72.73,0,2,294,Torino,Serie A,2023-2024
Rick Karsdorp,6.92,3,50.0,0,3,149,Roma,Serie A,2023-2024
Tomáš Suslov,6.92,38,57.58,2,5,281,Hellas Verona,Serie A,2023-2024
