Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
Luis Alberto,7.86,59,68.6,2,18,645,Lazio,Serie A,2017-2018
Papu Gómez,7.83,105,70.47,9,17,583,Atalanta,Serie A,2017-2018
Lorenzo Insigne,7.72,62,53.45,16,23,664,Napoli,Serie A,2017-2018
Paulo Dybala,7.72,93,72.09,3,6,425,Juventus,Serie A,2017-2018
Suso,7.56,77,61.6,4,11,638,Milan,Serie A,2017-2018
Josip Iličić,7.55,66,59.46,4,9,475,Atalanta,Serie A,2017-2018
Miralem Pjanić,7.51,28,82.35,0,10,360,Juventus,Serie A,2017-2018
Ciro Immobile,7.5,25,51.02,11,11,350,Lazio,Serie A,2017-2018
Hakan Çalhanoğlu,7.49,23,74.19,0,9,430,Milan,Serie A,2017-2018
Aleksandar Kolarov,7.49,55,59.14,1,9,761,Roma,Serie A,2017-2018
Simone Verdi,7.47,78,65.55,2,11,640,Bologna,Serie A,2017-2018
Douglas Costa,7.46,106,77.94,1,13,343,Juventus,Serie A,2017-2018
Edin Džeko,7.42,41,65.08,12,6,434,Roma,Serie A,2017-2018
Adem Ljajić,7.38,42,59.15,2,14,380,Torino,Serie A,2017-2018
Federico Viviani,7.36,15,75.0,2,3,408,SPAL,Serie A,2017-2018
Mauro Icardi,7.34,10,50.0,16,7,211,Inter,Serie A,2017-2018
José Callejón,7.33,11,36.67,14,12,480,Napoli,Serie A,2017-2018
Marcelo Brozović,7.33,26,72.22,1,10,357,Inter,Serie A,2017-2018
Alex Sandro,7.32,51,73.91,0,5,360,Juventus,Serie A,2017-2018
Raúl Albiol,7.32,2,40.0,2,1,281,Napoli,Serie A,2017-2018
Ivan Perišić,7.31,31,58.49,12,13,660,Inter,Serie A,2017-2018
Fabio Quagliarella,7.3,18,54.55,7,10,364,U.C Sampdoria,Serie A,2017-2018
Juan Cuadrado,7.3,30,73.17,6,7,194,Juventus,Serie A,2017-2018
Dries Mertens,7.29,42,47.73,11,13,467,Napoli,Serie A,2017-2018
Medhi Benatia,7.29,5,62.5,2,0,144,Juventus,Serie A,2017-2018
Radja Nainggolan,7.29,50,73.53,2,11,406,Roma,Serie A,2017-2018
Giorgio Chiellini,7.26,10,90.91,3,1,250,Juventus,Serie A,2017-2018
Lucas Torreira,7.24,35,79.55,1,2,463,U.C Sampdoria,Serie A,2017-2018
Felipe Anderson,7.24,77,67.54,1,6,350,Lazio,Serie A,2017-2018
Antonio Candreva,7.24,49,65.33,4,13,580,Inter,Serie A,2017-2018
Federico Fazio,7.23,16,69.57,0,0,350,Roma,Serie A,2017-2018
