Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
James Rodríguez,7.8,20,37.04,3,14,324,FC Bayern München,Bundesliga,2017-2018
Alexander Hack,7.4,5,71.43,0,0,167,1. FSV Mainz 05,Bundesliga,2017-2018
Robert Lewandowski,7.38,19,29.69,21,5,270,FC Bayern München,Bundesliga,2017-2018
Naldo,7.38,9,69.23,1,3,266,FC Schalke 04,Bundesliga,2017-2018
Joshua Kimmich,7.38,21,42.0,0,8,409,FC Bayern München,Bundesliga,2017-2018
Arturo Vidal,7.37,9,69.23,5,4,179,FC Bayern München,Bundesliga,2017-2018
Thiago Alcântara,7.35,24,57.14,4,2,174,FC Bayern München,Bundesliga,2017-2018
Thomas Müller,7.31,12,37.5,12,18,353,FC Bayern München,Bundesliga,2017-2018
Jérôme Boateng,7.31,1,50.0,0,4,216,FC Bayern München,Bundesliga,2017-2018
Daniel Caligiuri,7.31,56,55.45,1,10,673,FC Schalke 04,Bundesliga,2017-2018
Philipp Max,7.29,5,38.46,0,13,618,FC Augsburg,Bundesliga,2017-2018
Leon Bailey,7.29,57,48.72,6,9,510,Bayer 04 Leverkusen,Bundesliga,2017-2018
Serge Gnabry,7.26,45,51.14,3,5,247,TSG Hoffenheim,Bundesliga,2017-2018
Mats Hummels,7.26,12,54.55,0,1,292,FC Bayern München,Bundesliga,2017-2018
Arjen Robben,7.25,26,39.39,6,9,264,FC Bayern München,Bundesliga,2017-2018
Corentin Tolisso,7.23,5,23.81,3,7,175,FC Bayern München,Bundesliga,2017-2018
Lars Bender,7.22,9,56.25,3,3,260,Bayer 04 Leverkusen,Bundesliga,2017-2018
Max Kruse,7.21,28,46.67,3,6,473,SV Werder Bremen,Bundesliga,2017-2018
Benjamin Hübner,7.2,5,45.45,2,0,263,TSG Hoffenheim,Bundesliga,2017-2018
Maximilian Philipp,7.2,16,64.0,0,4,145,Borussia Dortmund,Bundesliga,2017-2018
Salif Sané,7.19,15,83.33,0,1,396,Hannover 96,Bundesliga,2017-2018
