Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Appearances,Team Name,League,Season
Thiago Alcântara,7.96,60,70.59,1,3,27,FC Bayern München,Bundesliga,2016-2017
Andreas Luthe,7.75,0,0.0,0,0,2,FC Augsburg,Bundesliga,2016-2017
Arjen Robben,7.6,67,60.91,1,10,26,FC Bayern München,Bundesliga,2016-2017
Sven Müller,7.5,0,0.0,0,0,1,1. FC Köln,Bundesliga,2016-2017
Max Kruse,7.47,17,37.78,2,7,23,SV Werder Bremen,Bundesliga,2016-2017
Robert Lewandowski,7.41,33,46.48,27,8,33,FC Bayern München,Bundesliga,2016-2017
Hakan Çalhanoğlu,7.4,12,40.0,2,5,15,Bayer 04 Leverkusen,Bundesliga,2016-2017
Emil Forsberg,7.4,71,58.2,5,18,30,RB Leipzig,Bundesliga,2016-2017
Johannes Geis,7.39,6,66.67,0,1,18,FC Schalke 04,Bundesliga,2016-2017
Benjamin Hübner,7.38,6,85.71,0,3,25,TSG Hoffenheim,Bundesliga,2016-2017
Joel Pohjanpalo,7.37,2,100.0,2,1,11,Bayer 04 Leverkusen,Bundesliga,2016-2017
Arturo Vidal,7.36,10,50.0,0,4,27,FC Bayern München,Bundesliga,2016-2017
Mats Hummels,7.35,4,100.0,3,4,27,FC Bayern München,Bundesliga,2016-2017
Ousmane Dembélé,7.34,103,55.98,2,17,32,Borussia Dortmund,Bundesliga,2016-2017
Naby Keïta,7.34,83,63.85,1,8,31,RB Leipzig,Bundesliga,2016-2017
Sebastian Rudy,7.33,21,53.85,1,4,32,TSG Hoffenheim,Bundesliga,2016-2017
Tom Starke,7.33,1,100.0,0,0,3,FC Bayern München,Bundesliga,2016-2017
Xabi Alonso,7.33,5,55.56,0,5,27,FC Bayern München,Bundesliga,2016-2017
Javi Martínez,7.33,4,66.67,1,2,25,FC Bayern München,Bundesliga,2016-2017
Frederik Sørensen,7.3,8,72.73,0,3,31,1. FC Köln,Bundesliga,2016-2017
Raphael Framberger,7.3,1,50.0,0,1,3,FC Augsburg,Bundesliga,2016-2017
Philipp Wollscheid,7.3,0,0.0,0,1,7,VfL Wolfsburg,Bundesliga,2016-2017
Pierre-Emerick Aubameyang,7.29,20,38.46,25,7,32,Borussia Dortmund,Bundesliga,2016-2017
Franck Ribéry,7.25,38,50.67,1,7,22,FC Bayern München,Bundesliga,2016-2017
Pascal Groß,7.25,9,36.0,1,8,33,FC Ingolstadt 04,Bundesliga,2016-2017
Sokratis,7.23,11,64.71,0,2,26,Borussia Dortmund,Bundesliga,2016-2017
Philipp Lahm,7.22,14,77.78,1,3,26,FC Bayern München,Bundesliga,2016-2017
Kyriakos Papadopoulos,7.22,0,0.0,0,0,16,Hamburger SV,Bundesliga,2016-2017
Joshua Kimmich,7.21,5,41.67,3,1,27,FC Bayern München,Bundesliga,2016-2017
Willi Orbán,7.21,1,33.33,0,1,28,RB Leipzig,Bundesliga,2016-2017
Konstantinos Stafylidis,7.2,8,53.33,0,2,27,FC Augsburg,Bundesliga,2016-2017
Thilo Kehrer,7.2,8,57.14,1,1,16,FC Schalke 04,Bundesliga,2016-2017
Vladlen Yurchenko,7.2,1,100.0,0,0,3,Bayer 04 Leverkusen,Bundesliga,2016-2017
Jannik Vestergaard,7.19,10,90.91,2,2,34,Borussia M'gladbach,Bundesliga,2016-2017
Niklas Süle,7.19,7,50.0,1,0,33,TSG Hoffenheim,Bundesliga,2016-2017
Benedikt Höwedes,7.19,3,75.0,0,0,31,FC Schalke 04,Bundesliga,2016-2017
Timo Werner,7.19,21,33.33,7,5,31,RB Leipzig,Bundesliga,2016-2017
Anthony Modeste,7.18,23,34.33,16,2,34,1. FC Köln,Bundesliga,2016-2017
Marco Reus,7.18,23,48.94,10,6,17,Borussia Dortmund,Bundesliga,2016-2017
David Alaba,7.16,10,38.46,0,6,32,FC Bayern München,Bundesliga,2016-2017
Thomas Müller,7.16,16,42.11,8,14,29,FC Bayern München,Bundesliga,2016-2017
Jonas Hector,7.15,33,63.46,1,4,33,1. FC Köln,Bundesliga,2016-2017
Alexander Hack,7.15,5,100.0,0,0,15,1. FSV Mainz 05,Bundesliga,2016-2017
Raffael,7.14,49,50.52,4,2,20,Borussia M'gladbach,Bundesliga,2016-2017
Andrej Kramarić,7.14,30,40.54,9,9,34,TSG Hoffenheim,Bundesliga,2016-2017
Hamit Altıntop,7.14,22,68.75,1,1,16,Darmstadt 98,Bundesliga,2016-2017
David Abraham,7.14,6,75.0,0,2,30,Eintracht Frankfurt,Bundesliga,2016-2017
Kevin Vogt,7.14,2,50.0,0,0,31,TSG Hoffenheim,Bundesliga,2016-2017
Markus Suttner,7.13,14,33.33,0,8,31,FC Ingolstadt 04,Bundesliga,2016-2017
Marco Fabián,7.13,23,41.07,5,4,24,Eintracht Frankfurt,Bundesliga,2016-2017
Andreas Christensen,7.13,5,62.5,1,2,31,Borussia M'gladbach,Bundesliga,2016-2017
Lukas Klünter,7.13,8,57.14,0,3,8,1. FC Köln,Bundesliga,2016-2017
Niklas Stark,7.11,2,40.0,2,0,27,Hertha BSC,Bundesliga,2016-2017
Luiz Gustavo,7.11,10,58.82,0,0,27,VfL Wolfsburg,Bundesliga,2016-2017
Mario Vrančić,7.11,13,65.0,0,4,23,Darmstadt 98,Bundesliga,2016-2017
Marcel Risse,7.11,21,46.67,1,5,13,1. FC Köln,Bundesliga,2016-2017
Mario Gómez,7.1,23,43.4,16,5,33,VfL Wolfsburg,Bundesliga,2016-2017
Gonzalo Castro,7.1,16,38.1,1,7,28,Borussia Dortmund,Bundesliga,2016-2017
Daniel Baier,7.1,7,28.0,0,2,27,FC Augsburg,Bundesliga,2016-2017
Naldo,7.1,1,50.0,0,0,19,FC Schalke 04,Bundesliga,2016-2017
Fabio Coltorti,7.1,0,0.0,0,0,1,RB Leipzig,Bundesliga,2016-2017
Julian Weigl,7.1,26,81.25,0,1,30,Borussia Dortmund,Bundesliga,2016-2017
Douglas Costa,7.1,58,60.42,1,8,23,FC Bayern München,Bundesliga,2016-2017
Marc Bartra,7.09,12,66.67,0,4,19,Borussia Dortmund,Bundesliga,2016-2017
Mahmoud Dahoud,7.09,38,55.07,1,8,28,Borussia M'gladbach,Bundesliga,2016-2017
Fabian Lustenberger,7.09,2,66.67,0,0,19,Hertha BSC,Bundesliga,2016-2017
Makoto Hasebe,7.09,9,75.0,2,1,22,Eintracht Frankfurt,Bundesliga,2016-2017
Rafinha,7.09,14,73.68,1,3,20,FC Bayern München,Bundesliga,2016-2017
Jeffrey Gouweleeuw,7.08,5,71.43,0,0,18,FC Augsburg,Bundesliga,2016-2017
John Brooks,7.08,4,40.0,0,0,24,Hertha BSC,Bundesliga,2016-2017
Thomas Delaney,7.08,0,0.0,0,1,13,SV Werder Bremen,Bundesliga,2016-2017
Raphaël Guerreiro,7.08,26,54.17,4,4,24,Borussia Dortmund,Bundesliga,2016-2017
Omar Mascarell,7.08,17,70.83,0,2,28,Eintracht Frankfurt,Bundesliga,2016-2017
Nabil Bentaleb,7.07,39,59.09,1,5,32,FC Schalke 04,Bundesliga,2016-2017
Mërgim Mavraj,7.07,4,66.67,0,0,30,Hamburger SV,Bundesliga,2016-2017
Josuha Guilavogui,7.06,11,68.75,3,1,19,VfL Wolfsburg,Bundesliga,2016-2017
Steven Zuber,7.06,27,46.55,0,2,24,TSG Hoffenheim,Bundesliga,2016-2017
Yuya Osako,7.05,28,40.0,2,8,30,1. FC Köln,Bundesliga,2016-2017
Łukasz Piszczek,7.05,11,52.38,1,2,25,Borussia Dortmund,Bundesliga,2016-2017
Sebastian Langkamp,7.05,4,66.67,0,1,27,Hertha BSC,Bundesliga,2016-2017
