Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Appearances,Team Name,League,Season
Josip Posavec,7.9,0,0.0,0,0,1,Palermo,Serie A,2015-2016
Federico Viviani,7.75,10,83.33,0,5,19,Hellas Verona,Serie A,2015-2016
Gonzalo Higuaín,7.69,48,56.47,19,1,35,Napoli,Serie A,2015-2016
Paulo Dybala,7.58,92,60.53,7,11,34,Juventus,Serie A,2015-2016
Paul Pogba,7.55,102,61.45,5,11,35,Juventus,Serie A,2015-2016
Lorenzo Insigne,7.52,45,54.22,4,16,37,Napoli,Serie A,2015-2016
Miralem Pjanić,7.47,26,56.52,5,14,33,Roma,Serie A,2015-2016
Marek Hamšík,7.46,38,66.67,3,15,38,Napoli,Serie A,2015-2016
Lucas Biglia,7.42,26,86.67,0,3,27,Lazio,Serie A,2015-2016
Kingsley Coman,7.4,0,0.0,0,0,1,Juventus,Serie A,2015-2016
Claudio Marchisio,7.39,20,86.96,0,2,23,Juventus,Serie A,2015-2016
Alberto Pelagotti,7.38,0,0.0,0,0,6,Empoli,Serie A,2015-2016
Juan Cuadrado,7.37,71,65.74,0,4,28,Juventus,Serie A,2015-2016
Josip Iličić,7.37,39,58.21,2,8,30,Fiorentina,Serie A,2015-2016
Franco Vázquez,7.36,126,59.43,4,7,36,Palermo,Serie A,2015-2016
Stefan de Vrij,7.35,1,100.0,0,0,2,Lazio,Serie A,2015-2016
Fernando,7.35,21,72.41,1,6,35,U.C Sampdoria,Serie A,2015-2016
Diego Perotti,7.34,102,70.83,2,6,31,Roma,Serie A,2015-2016
Giacomo Bonaventura,7.34,76,64.41,3,10,33,Milan,Serie A,2015-2016
Papu Gómez,7.33,84,60.0,8,12,34,Atalanta,Serie A,2015-2016
Francesco Acerbi,7.31,19,90.48,3,0,36,Sassuolo,Serie A,2015-2016
Samir Caetano,7.3,0,0.0,0,0,3,Hellas Verona,Serie A,2015-2016
Christian Abbiati,7.3,0,0.0,0,0,1,Milan,Serie A,2015-2016
Andrea Seculin,7.3,0,0.0,0,0,3,ChievoVerona,Serie A,2015-2016
Thiago Cionek,7.26,3,100.0,0,1,5,Palermo,Serie A,2015-2016
Mario Lemina,7.26,22,95.65,0,0,10,Juventus,Serie A,2015-2016
Leonardo Bonucci,7.26,17,80.95,1,1,36,Juventus,Serie A,2015-2016
Leandro Paredes,7.25,31,81.58,0,6,33,Empoli,Serie A,2015-2016
Domenico Berardi,7.24,31,48.44,5,7,30,Sassuolo,Serie A,2015-2016
Stephan El Shaarawy,7.24,17,43.59,2,1,16,Roma,Serie A,2015-2016
Daniele De Rossi,7.24,3,60.0,0,3,24,Roma,Serie A,2015-2016
Riccardo Montolivo,7.24,18,81.82,0,1,31,Milan,Serie A,2015-2016
Alex Sandro,7.24,39,61.9,1,4,22,Juventus,Serie A,2015-2016
Matías Vecino,7.22,33,84.62,0,1,30,Fiorentina,Serie A,2015-2016
Milan Badelj,7.21,33,94.29,0,4,27,Fiorentina,Serie A,2015-2016
Luca Antonelli,7.21,20,60.61,2,3,28,Milan,Serie A,2015-2016
Jorginho,7.2,13,76.47,0,6,35,Napoli,Serie A,2015-2016
Francesco Bardi,7.2,0,0.0,0,0,2,Frosinone,Serie A,2015-2016
Ignazio Abate,7.2,25,69.44,0,3,27,Milan,Serie A,2015-2016
Cristian Ansaldi,7.2,46,67.65,0,4,24,Genoa,Serie A,2015-2016
Bruno Peres,7.18,96,65.75,0,8,31,Torino,Serie A,2015-2016
Philippe Mexès,7.18,0,0.0,0,0,5,Milan,Serie A,2015-2016
Alessandro Florenzi,7.18,17,43.59,2,9,33,Roma,Serie A,2015-2016
Borja Valero,7.18,45,69.23,2,7,37,Fiorentina,Serie A,2015-2016
Giorgio Chiellini,7.18,11,78.57,2,1,24,Juventus,Serie A,2015-2016
Francesco Magnanelli,7.17,15,83.33,0,1,34,Sassuolo,Serie A,2015-2016
Andrea Costa,7.16,8,100.0,1,0,24,Empoli,Serie A,2015-2016
Alex,7.16,2,40.0,1,0,25,Milan,Serie A,2015-2016
Andrea Barzagli,7.16,10,62.5,0,0,31,Juventus,Serie A,2015-2016
Piotr Zieliński,7.16,89,67.42,3,4,35,Empoli,Serie A,2015-2016
Andrea Belotti,7.15,26,56.52,10,5,35,Torino,Serie A,2015-2016
Marcelo Brozović,7.14,49,62.03,1,9,32,Inter,Serie A,2015-2016
Davide Astori,7.14,17,89.47,1,1,33,Fiorentina,Serie A,2015-2016
Milan Biševac,7.13,4,100.0,0,0,11,Lazio,Serie A,2015-2016
Kalidou Koulibaly,7.13,15,88.24,0,0,33,Napoli,Serie A,2015-2016
Francesco Totti,7.12,4,36.36,2,3,13,Roma,Serie A,2015-2016
Gervinho,7.12,35,61.4,3,2,14,Roma,Serie A,2015-2016
Suso,7.12,27,54.0,0,3,20,Genoa,Serie A,2015-2016
Radja Nainggolan,7.12,27,58.7,2,2,35,Roma,Serie A,2015-2016
Hernanes,7.12,20,68.97,0,3,16,Juventus,Serie A,2015-2016
Luca Cigarini,7.12,13,59.09,3,2,25,Atalanta,Serie A,2015-2016
Cyril Théréau,7.11,51,56.67,8,5,36,Udinese,Serie A,2015-2016
Mauro Icardi,7.1,10,52.63,9,8,33,Inter,Serie A,2015-2016
Daniele Gastaldello,7.1,3,100.0,1,1,26,Bologna,Serie A,2015-2016
Raúl Albiol,7.1,6,85.71,1,0,36,Napoli,Serie A,2015-2016
Facundo Roncaglia,7.1,4,66.67,0,0,30,Fiorentina,Serie A,2015-2016
Lorenzo Tonelli,7.1,5,100.0,0,0,26,Empoli,Serie A,2015-2016
Stevan Jovetić,7.1,41,56.16,6,2,26,Inter,Serie A,2015-2016
Mohamed Salah,7.09,56,49.56,8,8,34,Roma,Serie A,2015-2016
Nicolás Burdisso,7.09,2,100.0,0,0,28,Genoa,Serie A,2015-2016
Mario Mandžukić,7.09,5,62.5,5,4,27,Juventus,Serie A,2015-2016
Geoffrey Kondogbia,7.09,51,65.38,0,2,26,Inter,Serie A,2015-2016
Nikola Maksimović,7.09,14,70.0,0,2,16,Torino,Serie A,2015-2016
Cesare Bovo,7.08,5,83.33,0,2,21,Torino,Serie A,2015-2016
Tomás Rincón,7.07,79,75.24,1,4,33,Genoa,Serie A,2015-2016
Gonzalo Rodríguez,7.07,15,62.5,1,1,35,Fiorentina,Serie A,2015-2016
Abdelhamid El Kaoutari,7.07,4,100.0,0,1,7,Palermo,Serie A,2015-2016
Maxi Moralez,7.07,12,46.15,8,6,17,Atalanta,Serie A,2015-2016
Enzo Maresca,7.07,8,53.33,0,0,15,Palermo,Serie A,2015-2016
Leonardo Pavoletti,7.07,5,38.46,5,3,25,Genoa,Serie A,2015-2016
José Callejón,7.07,7,38.89,6,4,38,Napoli,Serie A,2015-2016
Armando Izzo,7.06,28,73.68,2,1,33,Genoa,Serie A,2015-2016
Felipe,7.06,7,100.0,3,1,26,Udinese,Serie A,2015-2016
Archimede Morleo,7.06,2,66.67,0,0,5,Bologna,Serie A,2015-2016
Adem Ljajić,7.06,29,52.73,5,3,26,Inter,Serie A,2015-2016
Miroslav Klose,7.06,15,75.0,5,7,24,Lazio,Serie A,2015-2016
Pontus Jansson,7.06,4,100.0,0,0,7,Torino,Serie A,2015-2016
Giuseppe Vives,7.06,13,76.47,1,4,33,Torino,Serie A,2015-2016
Uroš Ćosić,7.06,1,100.0,0,0,9,Empoli,Serie A,2015-2016
Éder,7.05,28,41.79,6,2,33,Inter,Serie A,2015-2016
Mario Balotelli,7.05,18,58.06,2,5,20,Milan,Serie A,2015-2016
Samir Handanović,7.05,0,0.0,0,0,36,Inter,Serie A,2015-2016
Konstantinos Manolas,7.05,11,91.67,0,1,37,Roma,Serie A,2015-2016
Kamil Glik,7.04,11,84.62,1,0,33,Torino,Serie A,2015-2016
Bruno Fernandes,7.04,33,56.9,1,5,31,Udinese,Serie A,2015-2016
Gary Medel,7.03,8,66.67,0,2,30,Inter,Serie A,2015-2016
Marco Parolo,7.03,4,80.0,6,4,31,Lazio,Serie A,2015-2016
Domenico Maietta,7.03,8,66.67,1,0,19,Bologna,Serie A,2015-2016
Miranda,7.03,12,80.0,0,2,32,Inter,Serie A,2015-2016
Federico Bernardeschi,7.03,70,64.22,0,8,33,Fiorentina,Serie A,2015-2016
Jeison Murillo,7.03,19,82.61,2,1,34,Inter,Serie A,2015-2016
Keita Baldé,7.02,69,60.53,6,5,31,Lazio,Serie A,2015-2016
Ciro Immobile,7.02,16,57.14,6,4,14,Torino,Serie A,2015-2016
Alessandro Gamberini,7.02,2,100.0,0,0,22,ChievoVerona,Serie A,2015-2016
Ezequiel Muñoz,7.02,5,83.33,1,1,18,Genoa,Serie A,2015-2016
Ivan Radovanović,7.02,7,87.5,0,0,26,ChievoVerona,Serie A,2015-2016
Fabrizio Cacciatore,7.01,6,50.0,2,5,29,ChievoVerona,Serie A,2015-2016
Emiliano Moretti,7.01,9,90.0,1,1,35,Torino,Serie A,2015-2016
Massimo Maccarone,7.01,20,42.55,6,6,37,Empoli,Serie A,2015-2016
Andrea Lazzari,7.01,1,33.33,2,1,8,Carpi,Serie A,2015-2016
Felipe Melo,7.01,13,56.52,1,2,26,Inter,Serie A,2015-2016
Cristian Zaccardo,7.01,7,53.85,1,0,27,Carpi,Serie A,2015-2016
Emanuele Giaccherini,7.01,29,40.85,3,8,28,Bologna,Serie A,2015-2016
Santiago Gentiletti,7.01,9,100.0,1,0,19,Lazio,Serie A,2015-2016
Marten de Roon,7.01,15,75.0,0,2,36,Atalanta,Serie A,2015-2016
Mattia Perin,7.01,0,0.0,0,0,25,Genoa,Serie A,2015-2016
Antonio Candreva,7.01,34,49.28,4,7,30,Lazio,Serie A,2015-2016
Daniele Rugani,7.01,7,87.5,0,0,17,Juventus,Serie A,2015-2016
Sami Khedira,7.0,14,58.33,3,4,20,Juventus,Serie A,2015-2016
Luigi Giorgi,7.0,0,0.0,0,0,1,Atalanta,Serie A,2015-2016
Mário Rui,7.0,25,59.52,0,2,36,Empoli,Serie A,2015-2016
Federico Mattiello,7.0,1,100.0,0,1,1,ChievoVerona,Serie A,2015-2016
Luca Antei,7.0,0,0.0,0,1,5,Sassuolo,Serie A,2015-2016
Vlad Chiricheş,7.0,5,83.33,0,0,8,Napoli,Serie A,2015-2016
Faouzi Ghoulam,6.99,30,63.83,0,4,34,Napoli,Serie A,2015-2016
Dries Mertens,6.99,36,50.7,3,3,33,Napoli,Serie A,2015-2016
Cristián Zapata,6.99,4,66.67,0,0,16,Milan,Serie A,2015-2016
Marcos Alonso,6.99,23,44.23,2,5,31,Fiorentina,Serie A,2015-2016
Jonathan Biabiany,6.99,40,75.47,1,3,20,Inter,Serie A,2015-2016
Boukary Dramé,6.99,32,68.09,3,1,25,Atalanta,Serie A,2015-2016
Antonio Cassano,6.99,18,62.07,3,7,24,U.C Sampdoria,Serie A,2015-2016
Allan,6.99,57,62.64,1,5,35,Napoli,Serie A,2015-2016
Matías Fernández,6.99,18,62.07,0,3,22,Fiorentina,Serie A,2015-2016
Kwadwo Asamoah,6.98,10,76.92,1,0,11,Juventus,Serie A,2015-2016
Riccardo Gagliolo,6.98,20,66.67,0,0,31,Carpi,Serie A,2015-2016
Patrice Evra,6.98,14,43.75,3,2,26,Juventus,Serie A,2015-2016
Gastón Brugman,6.97,10,66.67,0,1,14,Palermo,Serie A,2015-2016
Marios Oikonomou,6.97,5,83.33,2,0,20,Bologna,Serie A,2015-2016
Francesco Lodi,6.97,9,50.0,1,3,24,Udinese,Serie A,2015-2016
Roberto Soriano,6.97,39,61.9,1,9,37,U.C Sampdoria,Serie A,2015-2016
Ogenyi Onazi,6.97,10,71.43,0,1,15,Lazio,Serie A,2015-2016
Berat Djimsiti,6.97,0,0.0,0,0,3,Atalanta,Serie A,2015-2016
Antonio Rüdiger,6.96,8,66.67,0,2,30,Roma,Serie A,2015-2016
Franco Brienza,6.96,19,50.0,3,9,29,Bologna,Serie A,2015-2016
Federico Dionisi,6.96,37,38.95,2,6,32,Frosinone,Serie A,2015-2016
Mauricio Pinilla,6.96,6,31.58,4,6,20,Atalanta,Serie A,2015-2016
Fabio Quagliarella,6.96,8,42.11,9,2,32,U.C Sampdoria,Serie A,2015-2016
Cristian Molinaro,6.96,35,70.0,0,3,27,Torino,Serie A,2015-2016
Raffaele Maiello,6.96,4,80.0,0,0,12,Empoli,Serie A,2015-2016
Emiliano Viviano,6.95,0,0.0,0,0,37,U.C Sampdoria,Serie A,2015-2016
Paolo Sammarco,6.95,11,78.57,1,1,28,Frosinone,Serie A,2015-2016
Cristian Tello,6.95,39,56.52,1,1,15,Fiorentina,Serie A,2015-2016
Roberto Pereyra,6.95,20,64.52,0,2,13,Juventus,Serie A,2015-2016
Dario Dainelli,6.94,3,100.0,0,0,18,ChievoVerona,Serie A,2015-2016
Wojciech Szczęsny,6.94,3,100.0,0,0,34,Roma,Serie A,2015-2016
Simone Romagnoli,6.94,1,100.0,0,1,30,Carpi,Serie A,2015-2016
Carlos Carbonero,6.94,12,66.67,1,3,14,U.C Sampdoria,Serie A,2015-2016
Germán Denis,6.94,8,61.54,2,3,15,Atalanta,Serie A,2015-2016
Šime Vrsaljko,6.94,25,59.52,2,6,35,Sassuolo,Serie A,2015-2016
Riccardo Meggiorini,6.94,10,38.46,3,8,26,ChievoVerona,Serie A,2015-2016
Carlos Bacca,6.94,31,47.69,9,5,38,Milan,Serie A,2015-2016
Gastón Silva,6.94,12,66.67,0,0,12,Torino,Serie A,2015-2016
Blerim Džemaili,6.94,21,55.26,0,1,27,Genoa,Serie A,2015-2016
Wesley Hoedt,6.94,9,75.0,0,0,25,Lazio,Serie A,2015-2016
Ivan Perišić,6.94,28,45.16,3,6,34,Inter,Serie A,2015-2016
Leonardo Blanchard,6.94,9,81.82,2,1,28,Frosinone,Serie A,2015-2016
M'Baye Niang,6.94,27,43.55,4,4,16,Milan,Serie A,2015-2016
Antonio Floro Flores,6.94,26,59.09,3,1,28,ChievoVerona,Serie A,2015-2016
Mirko Valdifiori,6.93,0,0.0,0,0,6,Napoli,Serie A,2015-2016
Përparim Hetemaj,6.93,30,68.18,0,1,28,ChievoVerona,Serie A,2015-2016
Alex Telles,6.93,24,68.57,0,3,21,Inter,Serie A,2015-2016
Khouma Babacar,6.93,5,38.46,1,1,18,Fiorentina,Serie A,2015-2016
Andrea Bertolacci,6.93,22,61.11,1,3,27,Milan,Serie A,2015-2016
Boštjan Cesar,6.92,2,50.0,1,0,31,ChievoVerona,Serie A,2015-2016
Josef Martínez,6.92,6,85.71,5,2,21,Torino,Serie A,2015-2016
Ştefan Radu,6.92,9,81.82,0,2,13,Lazio,Serie A,2015-2016
Luca Marrone,6.91,20,71.43,0,2,21,Hellas Verona,Serie A,2015-2016
Andrea Masiello,6.91,3,100.0,0,0,29,Atalanta,Serie A,2015-2016
Alessandro Diamanti,6.91,9,39.13,1,3,16,Atalanta,Serie A,2015-2016
Simone Verdi,6.91,6,35.29,0,0,8,Carpi,Serie A,2015-2016
Simone Missiroli,6.91,19,63.33,2,0,24,Sassuolo,Serie A,2015-2016
Lorenzo Lollo,6.91,21,51.22,3,1,27,Carpi,Serie A,2015-2016
Gianluigi Buffon,6.91,1,100.0,0,0,35,Juventus,Serie A,2015-2016
Marco Borriello,6.91,25,48.08,5,6,27,Atalanta,Serie A,2015-2016
Edin Džeko,6.91,17,41.46,13,2,31,Roma,Serie A,2015-2016
Riccardo Saponara,6.91,69,56.56,8,8,33,Empoli,Serie A,2015-2016
Lorenzo Pellegrini,6.91,11,55.0,1,0,19,Sassuolo,Serie A,2015-2016
Molla Wagué,6.9,4,66.67,2,1,21,Udinese,Serie A,2015-2016
Siniša Anđelković,6.9,0,0.0,1,1,23,Palermo,Serie A,2015-2016
Mauricio,6.9,5,83.33,0,0,24,Lazio,Serie A,2015-2016
Luca Rossettini,6.9,0,0.0,3,2,29,Bologna,Serie A,2015-2016
Álvaro Morata,6.9,31,45.59,4,6,34,Juventus,Serie A,2015-2016
Stefano Sorrentino,6.9,1,100.0,0,0,35,Palermo,Serie A,2015-2016
Wallace,6.9,7,63.64,0,0,6,Carpi,Serie A,2015-2016
Luis Muriel,6.9,50,53.76,7,2,32,U.C Sampdoria,Serie A,2015-2016
Stefano Sabelli,6.9,0,0.0,0,0,7,Carpi,Serie A,2015-2016
Roberto Gagliardini,6.9,0,0.0,0,0,1,Atalanta,Serie A,2015-2016
Maurizio Pugliesi,6.9,0,0.0,0,0,1,Empoli,Serie A,2015-2016
Olivier Ntcham,6.9,20,58.82,0,2,17,Genoa,Serie A,2015-2016
Alessio Romagnoli,6.9,5,62.5,0,0,34,Milan,Serie A,2015-2016
Alfred Duncan,6.9,42,56.0,0,8,33,Sassuolo,Serie A,2015-2016
Paolo Cannavaro,6.9,5,71.43,0,0,31,Sassuolo,Serie A,2015-2016
Luca Rigoni,6.9,7,58.33,6,4,28,Genoa,Serie A,2015-2016
Antonio Mirante,6.89,3,100.0,0,0,33,Bologna,Serie A,2015-2016
Gianluigi Donnarumma,6.89,0,0.0,0,0,30,Milan,Serie A,2015-2016
Fredy Guarín,6.89,23,71.88,1,1,16,Inter,Serie A,2015-2016
Gabriel Silva,6.89,28,62.22,1,1,27,Genoa,Serie A,2015-2016
Felipe Anderson,6.89,68,48.92,4,3,35,Lazio,Serie A,2015-2016
Federico Barba,6.89,1,50.0,0,0,10,Empoli,Serie A,2015-2016
Abdoulay Konko,6.89,20,68.97,1,1,18,Lazio,Serie A,2015-2016
Eros Pisano,6.89,18,50.0,0,0,34,Hellas Verona,Serie A,2015-2016
Gaetano Letizia,6.89,40,48.78,0,5,35,Carpi,Serie A,2015-2016
Alessandro Gazzi,6.89,2,66.67,0,0,15,Torino,Serie A,2015-2016
Ricardo Álvarez,6.88,36,69.23,1,0,13,U.C Sampdoria,Serie A,2015-2016
Sergio Floccari,6.88,27,71.05,5,3,25,Bologna,Serie A,2015-2016
Panagiotis Kone,6.88,3,50.0,0,1,6,Fiorentina,Serie A,2015-2016
Adam Masina,6.88,25,52.08,1,3,33,Bologna,Serie A,2015-2016
Urby Emanuelson,6.88,2,15.38,0,2,11,Hellas Verona,Serie A,2015-2016
Albano Bizzarri,6.88,1,100.0,0,0,35,ChievoVerona,Serie A,2015-2016
Antonio Di Natale,6.88,4,44.44,3,6,23,Udinese,Serie A,2015-2016
Alberto Grassi,6.88,6,37.5,1,1,13,Napoli,Serie A,2015-2016
Eugenio Lamanna,6.88,0,0.0,0,0,13,Genoa,Serie A,2015-2016
Lorenzo Pasciuti,6.88,10,52.63,0,6,21,Carpi,Serie A,2015-2016
Amadou Diawara,6.88,21,72.41,0,1,34,Bologna,Serie A,2015-2016
Senad Lulić,6.87,39,56.52,0,5,30,Lazio,Serie A,2015-2016
