Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
Memphis Depay,7.59,76,51.35,9,20,653,Olympique Lyonnais,Ligue 1,2020-2021
Ángel Di María,7.54,40,51.28,3,20,457,Paris Saint-Germain,Ligue 1,2020-2021
Neymar,7.53,87,56.13,9,13,447,Paris Saint-Germain,Ligue 1,2020-2021
Farid Boulaya,7.47,58,63.04,2,16,651,Metz,Ligue 1,2020-2021
Kylian Mbappé,7.43,90,49.72,15,9,474,Paris Saint-Germain,Ligue 1,2020-2021
Andy Delort,7.42,31,50.0,14,13,511,Montpellier,Ligue 1,2020-2021
Aleksandr Golovin,7.31,18,54.55,4,9,246,AS Monaco,Ligue 1,2020-2021
José Fonte,7.24,6,100.0,1,0,250,Lille,Ligue 1,2020-2021
Benjamin Bourigeaud,7.24,8,50.0,0,7,519,Stade Rennais,Ligue 1,2020-2021
Romain Faivre,7.23,89,67.42,5,11,470,Stade Brestois,Ligue 1,2020-2021
Karl Toko Ekambi,7.22,61,57.55,16,14,375,Olympique Lyonnais,Ligue 1,2020-2021
Marquinhos,7.2,2,100.0,1,0,139,Paris Saint-Germain,Ligue 1,2020-2021
Teji Savanier,7.2,51,62.2,2,10,525,Montpellier,Ligue 1,2020-2021
Burak Yılmaz,7.2,15,51.72,5,7,222,Lille,Ligue 1,2020-2021
Keylor Navas,7.19,1,100.0,0,0,90,Paris Saint-Germain,Ligue 1,2020-2021
Ludovic Ajorque,7.19,10,43.48,11,4,428,RC Strasbourg,Ligue 1,2020-2021
Laurent Koscielny,7.19,2,66.67,1,2,143,Bordeaux,Ligue 1,2020-2021
Lucas Paquetá,7.17,34,54.84,4,10,365,Olympique Lyonnais,Ligue 1,2020-2021
Arkadiusz Milik,7.17,7,50.0,3,2,130,Olympique de Marseille,Ligue 1,2020-2021
Frédéric Guilbert,7.16,16,53.33,0,3,260,RC Strasbourg,Ligue 1,2020-2021
Dimitri Payet,7.16,37,60.66,6,11,522,Olympique de Marseille,Ligue 1,2020-2021
Florian Thauvin,7.15,58,53.21,7,20,616,Olympique de Marseille,Ligue 1,2020-2021
Brendan Chardonnet,7.15,5,100.0,2,2,317,Stade Brestois,Ligue 1,2020-2021
Aurélien Tchouaméni,7.15,22,62.86,5,5,439,AS Monaco,Ligue 1,2020-2021
Wissam Ben Yedder,7.15,30,50.85,16,13,389,AS Monaco,Ligue 1,2020-2021
Marco Verratti,7.15,48,80.0,2,4,232,Paris Saint-Germain,Ligue 1,2020-2021
Amine Gouiri,7.15,52,50.49,15,11,481,Nice,Ligue 1,2020-2021
Marcelo,7.14,3,60.0,0,0,265,Olympique Lyonnais,Ligue 1,2020-2021
Gaëtan Laborde,7.12,33,47.14,9,9,502,Montpellier,Ligue 1,2020-2021
Léo Dubois,7.12,30,56.6,1,7,585,Olympique Lyonnais,Ligue 1,2020-2021
Boubakar Kouyaté,7.12,2,66.67,1,0,186,Metz,Ligue 1,2020-2021
Kevin Volland,7.11,17,40.48,7,10,421,AS Monaco,Ligue 1,2020-2021
