Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
Joshua Kimmich,7.79,21,51.22,0,14,488,FC Bayern München,Bundesliga,2021-2022
Erling Haaland,7.66,13,54.17,5,12,231,Borussia Dortmund,Bundesliga,2021-2022
Christopher Nkunku,7.59,66,66.67,10,16,427,RB Leipzig,Bundesliga,2021-2022
Robert Lewandowski,7.47,48,58.54,32,6,368,FC Bayern München,Bundesliga,2021-2022
Jonas Hofmann,7.41,21,47.73,6,6,394,Borussia M'gladbach,Bundesliga,2021-2022
Florian Wirtz,7.36,55,64.71,6,15,373,Bayer 04 Leverkusen,Bundesliga,2021-2022
Nico Schlotterbeck,7.35,23,65.71,5,2,405,SC Freiburg,Bundesliga,2021-2022
Serge Gnabry,7.33,63,60.58,11,17,428,FC Bayern München,Bundesliga,2021-2022
Thomas Müller,7.33,13,56.52,11,22,490,FC Bayern München,Bundesliga,2021-2022
Maximilian Arnold,7.31,12,85.71,0,6,466,VfL Wolfsburg,Bundesliga,2021-2022
Vincenzo Grifo,7.31,37,61.67,5,13,488,SC Freiburg,Bundesliga,2021-2022
David Raum,7.29,33,49.25,0,19,638,TSG Hoffenheim,Bundesliga,2021-2022
Borna Sosa,7.26,35,70.0,1,9,559,VfB Stuttgart,Bundesliga,2021-2022
Patrik Schick,7.26,15,36.59,14,3,240,Bayer 04 Leverkusen,Bundesliga,2021-2022
Filip Kostić,7.25,26,34.21,1,16,757,Eintracht Frankfurt,Bundesliga,2021-2022
Kerem Demirbay,7.23,28,66.67,1,6,416,Bayer 04 Leverkusen,Bundesliga,2021-2022
Alassane Pléa,7.23,32,50.0,5,14,307,Borussia M'gladbach,Bundesliga,2021-2022
Jonas Wind,7.23,10,62.5,3,5,183,VfL Wolfsburg,Bundesliga,2021-2022
Anthony Modeste,7.21,5,35.71,15,4,264,1. FC Köln,Bundesliga,2021-2022
Max Kruse,7.21,23,60.53,6,11,383,VfL Wolfsburg,Bundesliga,2021-2022
Florian Grillitsch,7.21,5,62.5,1,1,139,TSG Hoffenheim,Bundesliga,2021-2022
Julian Brandt,7.2,38,58.46,2,7,420,Borussia Dortmund,Bundesliga,2021-2022
Marco Reus,7.18,28,42.42,15,9,377,Borussia Dortmund,Bundesliga,2021-2022
Lucas Höler,7.16,21,44.68,4,9,467,SC Freiburg,Bundesliga,2021-2022
Willi Orbán,7.16,4,66.67,2,2,244,RB Leipzig,Bundesliga,2021-2022
Ellyes Skhiri,7.15,10,50.0,0,1,197,1. FC Köln,Bundesliga,2021-2022
Timo Hübers,7.15,6,85.71,2,0,239,1. FC Köln,Bundesliga,2021-2022
Dayot Upamecano,7.15,11,68.75,0,4,258,FC Bayern München,Bundesliga,2021-2022
Mark Uth,7.14,25,40.32,5,9,385,1. FC Köln,Bundesliga,2021-2022
Konstantinos Mavropanos,7.13,18,54.55,3,0,421,VfB Stuttgart,Bundesliga,2021-2022
Evan Ndicka,7.12,13,81.25,2,3,341,Eintracht Frankfurt,Bundesliga,2021-2022
Leon Goretzka,7.12,10,71.43,5,3,191,FC Bayern München,Bundesliga,2021-2022
Angeliño,7.12,14,73.68,0,11,489,RB Leipzig,Bundesliga,2021-2022
Nicolas Höfler,7.12,23,76.67,1,3,254,SC Freiburg,Bundesliga,2021-2022
Danilo Soares,7.11,36,55.38,0,4,517,VfL Bochum 1848,Bundesliga,2021-2022
Benjamin Pavard,7.11,3,75.0,0,1,292,FC Bayern München,Bundesliga,2021-2022
Joško Gvardiol,7.1,37,75.51,1,4,414,RB Leipzig,Bundesliga,2021-2022
Sheraldo Becker,7.09,24,61.54,2,14,316,1. FC Union Berlin,Bundesliga,2021-2022
Andrej Kramarić,7.08,30,53.57,16,12,365,TSG Hoffenheim,Bundesliga,2021-2022
Dominik Szoboszlai,7.08,18,45.0,5,12,317,RB Leipzig,Bundesliga,2021-2022
Moussa Diaby,7.07,56,43.41,5,15,463,Bayer 04 Leverkusen,Bundesliga,2021-2022
Saša Kalajdžić,7.07,10,58.82,8,6,183,VfB Stuttgart,Bundesliga,2021-2022
Florian Kainz,7.07,28,43.75,2,13,534,1. FC Köln,Bundesliga,2021-2022
Christopher Trimmel,7.06,19,73.08,2,2,434,1. FC Union Berlin,Bundesliga,2021-2022
Jonas Hector,7.06,16,51.61,2,7,464,1. FC Köln,Bundesliga,2021-2022
Mats Hummels,7.05,6,75.0,0,1,213,Borussia Dortmund,Bundesliga,2021-2022
Niklas Süle,7.05,8,61.54,1,2,199,FC Bayern München,Bundesliga,2021-2022
