Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
Neymar,8.15,75,60.48,4,13,448,Paris Saint-Germain,Ligue 1,2018-2019
Kylian Mbappé,7.83,65,54.62,27,8,356,Paris Saint-Germain,Ligue 1,2018-2019
Teji Savanier,7.62,79,66.95,0,18,804,Nîmes Olympique,Ligue 1,2018-2019
Ángel Di María,7.47,41,48.81,7,12,540,Paris Saint-Germain,Ligue 1,2018-2019
Memphis Depay,7.42,60,57.69,15,14,596,Olympique Lyonnais,Ligue 1,2018-2019
Sanjin Prcić,7.42,12,80.0,0,1,141,RC Strasbourg,Ligue 1,2018-2019
Edinson Cavani,7.4,12,57.14,11,5,148,Paris Saint-Germain,Ligue 1,2018-2019
Wahbi Khazri,7.39,46,57.5,10,10,585,Saint-Étienne,Ligue 1,2018-2019
Nabil Fekir,7.34,47,57.32,5,8,341,Olympique Lyonnais,Ligue 1,2018-2019
Andy Delort,7.3,54,57.45,9,11,747,Montpellier,Ligue 1,2018-2019
Nicolas Pépé,7.28,101,55.49,17,16,646,Lille,Ligue 1,2018-2019
Adrien Rabiot,7.28,15,68.18,0,1,113,Paris Saint-Germain,Ligue 1,2018-2019
Florent Mollet,7.27,20,39.22,1,8,436,Montpellier,Ligue 1,2018-2019
Flavien Tait,7.26,82,55.41,6,12,685,Angers,Ligue 1,2018-2019
Florian Thauvin,7.26,58,50.0,8,7,581,Olympique de Marseille,Ligue 1,2018-2019
Thiago Mendes,7.24,28,65.12,1,6,477,Lille,Ligue 1,2018-2019
Marcelo,7.23,8,100.0,2,4,320,Olympique Lyonnais,Ligue 1,2018-2019
Valentin Rongier,7.23,37,64.91,4,8,531,Nantes,Ligue 1,2018-2019
Leandro Paredes,7.23,5,55.56,0,3,153,Paris Saint-Germain,Ligue 1,2018-2019
Wylan Cyprien,7.22,19,63.33,1,5,402,Nice,Ligue 1,2018-2019
Walter Benítez,7.22,0,0.0,0,0,240,Nice,Ligue 1,2018-2019
Dani Alves,7.2,16,53.33,1,15,326,Paris Saint-Germain,Ligue 1,2018-2019
Marquinhos,7.2,6,85.71,2,2,201,Paris Saint-Germain,Ligue 1,2018-2019
Gabriel Magalhães,7.19,0,0.0,0,0,98,Lille,Ligue 1,2018-2019
Dimitri Payet,7.19,18,60.0,5,7,469,Olympique de Marseille,Ligue 1,2018-2019
Thiago Silva,7.18,2,100.0,0,2,123,Paris Saint-Germain,Ligue 1,2018-2019
Emiliano Sala,7.18,3,20.0,4,2,231,Nantes,Ligue 1,2018-2019
Erik Pieters,7.18,7,46.67,0,0,256,Amiens SC,Ligue 1,2018-2019
Fayçal Fajr,7.16,29,61.7,1,5,626,Caen,Ligue 1,2018-2019
Marco Verratti,7.15,35,81.4,0,6,260,Paris Saint-Germain,Ligue 1,2018-2019
Christophe Herelle,7.14,8,57.14,3,0,279,Nice,Ligue 1,2018-2019
Kenny Lala,7.14,36,43.37,1,7,704,RC Strasbourg,Ligue 1,2018-2019
Vukašin Jovanović,7.11,5,71.43,0,0,130,Bordeaux,Ligue 1,2018-2019
Naïm Sliti,7.1,84,63.16,3,8,491,Dijon,Ligue 1,2018-2019
Bobby Allain,7.09,0,0.0,0,0,166,Dijon,Ligue 1,2018-2019
Pablo Martinez,7.09,6,100.0,0,1,279,RC Strasbourg,Ligue 1,2018-2019
Dante,7.09,4,80.0,0,0,227,Nice,Ligue 1,2018-2019
Ole Selnaes,7.09,11,78.57,0,5,206,Saint-Étienne,Ligue 1,2018-2019
Thomas Meunier,7.08,8,50.0,2,7,213,Paris Saint-Germain,Ligue 1,2018-2019
Ludovic Ajorque,7.08,10,55.56,3,1,193,RC Strasbourg,Ligue 1,2018-2019
Ibrahim Sangaré,7.07,50,70.42,2,3,438,Toulouse,Ligue 1,2018-2019
Moussa Dembélé,7.07,26,61.9,16,3,243,Olympique Lyonnais,Ligue 1,2018-2019
Rémy Cabella,7.07,56,52.34,11,6,529,Saint-Étienne,Ligue 1,2018-2019
Xavier Chavalerin,7.06,23,74.19,1,4,419,Stade de Reims,Ligue 1,2018-2019
Pedro Rebocho,7.06,22,73.33,0,12,663,Guingamp,Ligue 1,2018-2019
Pedro Mendes,7.05,11,91.67,0,0,273,Montpellier,Ligue 1,2018-2019
Rony Lopes,7.05,28,45.16,2,6,354,AS Monaco,Ligue 1,2018-2019
Youcef Atal,7.05,101,49.51,3,3,486,Nice,Ligue 1,2018-2019
Bertrand Traoré,7.05,52,57.78,8,5,348,Olympique Lyonnais,Ligue 1,2018-2019
Tanguy Ndombélé,7.04,63,72.41,1,4,364,Olympique Lyonnais,Ligue 1,2018-2019
Ferland Mendy,7.03,54,76.06,0,2,441,Olympique Lyonnais,Ligue 1,2018-2019
Julian Draxler,7.03,44,74.58,3,7,286,Paris Saint-Germain,Ligue 1,2018-2019
Diego Carlos,7.02,6,75.0,1,1,329,Nantes,Ligue 1,2018-2019
Alexander Djiku,7.02,8,61.54,0,1,275,Caen,Ligue 1,2018-2019
Léo Dubois,7.02,13,44.83,1,10,310,Olympique Lyonnais,Ligue 1,2018-2019
Hatem Ben Arfa,7.02,116,56.04,4,5,408,Stade Rennais,Ligue 1,2018-2019
Damien Da Silva,7.01,8,80.0,1,0,191,Stade Rennais,Ligue 1,2018-2019
Stéphane Ruffier,7.01,0,0.0,0,0,440,Saint-Étienne,Ligue 1,2018-2019
Loïc Perrin,7.01,6,66.67,1,1,250,Saint-Étienne,Ligue 1,2018-2019
Allan Saint-Maximin,7.01,143,56.97,6,10,612,Nice,Ligue 1,2018-2019
Clément Depres,7.01,2,66.67,1,0,83,Nîmes Olympique,Ligue 1,2018-2019
Radamel Falcao,7.01,14,41.18,16,2,336,AS Monaco,Ligue 1,2018-2019
Youri Tielemans,7.01,18,51.43,0,4,294,AS Monaco,Ligue 1,2018-2019
Max Gradel,7.0,88,54.32,9,10,757,Toulouse,Ligue 1,2018-2019
Yunis Abdelhamid,7.0,21,91.3,2,0,311,Stade de Reims,Ligue 1,2018-2019
Serhou Guirassy,7.0,9,37.5,5,3,215,Amiens SC,Ligue 1,2018-2019
Youssouf Koné,7.0,17,62.96,0,0,266,Lille,Ligue 1,2018-2019
Edouard Mendy,7.0,0,0.0,0,0,440,Stade de Reims,Ligue 1,2018-2019
Thilo Kehrer,7.0,4,100.0,3,1,124,Paris Saint-Germain,Ligue 1,2018-2019
Jonas Martin,6.99,19,70.37,4,1,253,RC Strasbourg,Ligue 1,2018-2019
Malang Sarr,6.99,9,56.25,0,2,277,Nice,Ligue 1,2018-2019
Houssem Aouar,6.99,58,59.18,5,9,453,Olympique Lyonnais,Ligue 1,2018-2019
M'Baye Niang,6.98,19,36.54,5,3,275,Stade Rennais,Ligue 1,2018-2019
Ruben Aguilar,6.98,37,51.39,1,2,439,Montpellier,Ligue 1,2018-2019
Christopher Nkunku,6.98,23,58.97,3,6,140,Paris Saint-Germain,Ligue 1,2018-2019
Vitorino Hilton,6.98,3,75.0,2,1,304,Montpellier,Ligue 1,2018-2019
Kenny Tete,6.98,1,16.67,1,2,181,Olympique Lyonnais,Ligue 1,2018-2019
Romain Thomas,6.98,0,0.0,2,1,190,Angers,Ligue 1,2018-2019
Nicolas Benezet,6.97,34,68.0,1,7,423,Guingamp,Ligue 1,2018-2019
Anthony Briançon,6.97,2,100.0,4,0,259,Nîmes Olympique,Ligue 1,2018-2019
Ellyes Skhiri,6.96,32,74.42,1,1,329,Montpellier,Ligue 1,2018-2019
Mathieu Debuchy,6.96,9,37.5,3,3,397,Saint-Étienne,Ligue 1,2018-2019
Charles Traoré,6.96,1,33.33,0,3,197,Nantes,Ligue 1,2018-2019
José Fonte,6.96,4,66.67,5,0,306,Lille,Ligue 1,2018-2019
Clément Grenier,6.96,23,62.16,5,7,479,Stade Rennais,Ligue 1,2018-2019
Hiroki Sakai,6.96,12,60.0,0,4,340,Olympique de Marseille,Ligue 1,2018-2019
Björn Engels,6.95,6,60.0,1,2,235,Stade de Reims,Ligue 1,2018-2019
Mike Maignan,6.95,1,100.0,0,0,402,Lille,Ligue 1,2018-2019
Yann M'Vila,6.95,11,78.57,0,1,376,Saint-Étienne,Ligue 1,2018-2019
Maxwel Cornet,6.95,23,44.23,7,6,239,Olympique Lyonnais,Ligue 1,2018-2019
Youssef Aït Bennasser,6.95,23,76.67,0,2,227,Saint-Étienne,Ligue 1,2018-2019
Adama Soumaoro,6.95,6,75.0,1,1,66,Lille,Ligue 1,2018-2019
Alphonse Aréola,6.95,0,0.0,0,0,71,Paris Saint-Germain,Ligue 1,2018-2019
Anthony Gonçalves,6.95,7,77.78,0,2,203,RC Strasbourg,Ligue 1,2018-2019
Benoît Costil,6.95,1,100.0,0,0,349,Bordeaux,Ligue 1,2018-2019
Nicolas Pallois,6.95,22,75.86,2,0,283,Nantes,Ligue 1,2018-2019
