Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
Kylian Mbappé,7.77,111,54.41,23,23,581,Paris Saint-Germain,Ligue 1,2021-2022
Lionel Messi,7.75,64,64.65,11,17,386,Paris Saint-Germain,Ligue 1,2021-2022
Dimitri Payet,7.73,29,53.7,3,18,537,Olympique de Marseille,Ligue 1,2021-2022
Benjamin Bourigeaud,7.56,9,42.86,2,15,643,Stade Rennais,Ligue 1,2021-2022
Neymar,7.46,58,46.03,9,15,505,Paris Saint-Germain,Ligue 1,2021-2022
Teji Savanier,7.42,76,65.52,3,9,718,Montpellier,Ligue 1,2021-2022
Jonathan Clauss,7.38,29,48.33,2,10,737,RC Lens,Ligue 1,2021-2022
Marco Verratti,7.35,46,80.7,2,6,255,Paris Saint-Germain,Ligue 1,2021-2022
Ángel Di María,7.33,31,50.82,6,14,399,Paris Saint-Germain,Ligue 1,2021-2022
Aurélien Tchouaméni,7.33,38,73.08,1,6,358,AS Monaco,Ligue 1,2021-2022
Martin Terrier,7.3,28,47.46,11,5,322,Stade Rennais,Ligue 1,2021-2022
Bruno Guimarães,7.3,37,75.51,1,5,259,Olympique Lyonnais,Ligue 1,2021-2022
Andy Delort,7.29,19,40.43,13,10,468,Nice,Ligue 1,2021-2022
Florian Tardieu,7.28,20,66.67,1,4,407,Troyes,Ligue 1,2021-2022
Franck Honorat,7.22,37,46.84,2,9,556,Stade Brestois,Ligue 1,2021-2022
Ander Herrera,7.21,6,60.0,0,3,116,Paris Saint-Germain,Ligue 1,2021-2022
Jonas Omlin,7.19,1,100.0,0,0,231,Montpellier,Ligue 1,2021-2022
Marquinhos,7.17,4,66.67,4,0,183,Paris Saint-Germain,Ligue 1,2021-2022
Wissam Ben Yedder,7.16,25,43.86,10,9,338,AS Monaco,Ligue 1,2021-2022
Andrei Girotto,7.15,6,54.55,1,3,349,Nantes,Ligue 1,2021-2022
Hamari Traoré,7.14,10,45.45,1,7,411,Stade Rennais,Ligue 1,2021-2022
Christopher Wooh,7.14,11,73.33,1,1,100,RC Lens,Ligue 1,2021-2022
Romain Faivre,7.14,65,50.0,3,10,521,Olympique Lyonnais,Ligue 1,2021-2022
Sofiane Boufal,7.13,90,45.45,3,9,580,Angers,Ligue 1,2021-2022
Karl Toko Ekambi,7.13,44,52.38,6,9,364,Olympique Lyonnais,Ligue 1,2021-2022
Frédéric Guilbert,7.13,32,52.46,1,8,578,RC Strasbourg,Ligue 1,2021-2022
Lucas Paquetá,7.13,81,68.64,9,9,576,Olympique Lyonnais,Ligue 1,2021-2022
Lovro Majer,7.13,29,51.79,2,7,356,Stade Rennais,Ligue 1,2021-2022
Boubacar Kamara,7.12,16,61.54,0,3,289,Olympique de Marseille,Ligue 1,2021-2022
Aleksandr Golovin,7.11,22,70.97,2,3,270,AS Monaco,Ligue 1,2021-2022
Moussa Dembélé,7.11,25,59.52,23,6,307,Olympique Lyonnais,Ligue 1,2021-2022
Sven Botman,7.1,5,100.0,2,0,197,Lille,Ligue 1,2021-2022
Ludovic Ajorque,7.1,14,51.85,11,11,373,RC Strasbourg,Ligue 1,2021-2022
Boubakar Kouyaté,7.1,6,54.55,2,0,259,Metz,Ligue 1,2021-2022
Ryad Boudebouz,7.09,55,67.9,0,5,478,Saint-Étienne,Ligue 1,2021-2022
Jean-Clair Todibo,7.09,14,73.68,3,0,350,Nice,Ligue 1,2021-2022
Danilo Pereira,7.08,7,50.0,2,1,115,Paris Saint-Germain,Ligue 1,2021-2022
Moses Simon,7.08,41,44.09,6,13,506,Nantes,Ligue 1,2021-2022
Predrag Rajković,7.08,1,100.0,0,0,371,Stade de Reims,Ligue 1,2021-2022
Renato Sanches,7.08,41,69.49,0,7,319,Lille,Ligue 1,2021-2022
Cheick Doucouré,7.07,23,71.88,0,5,323,RC Lens,Ligue 1,2021-2022
Cengiz Ünder,7.07,25,36.76,3,6,393,Olympique de Marseille,Ligue 1,2021-2022
Gaëtan Laborde,7.06,11,28.95,16,12,434,Stade Rennais,Ligue 1,2021-2022
Sanjin Prcić,7.06,8,53.33,0,0,262,RC Strasbourg,Ligue 1,2021-2022
William Saliba,7.06,31,75.61,2,1,266,Olympique de Marseille,Ligue 1,2021-2022
Adrien Thomasson,7.06,31,56.36,3,8,438,RC Strasbourg,Ligue 1,2021-2022
Brendan Chardonnet,7.06,1,25.0,1,0,252,Stade Brestois,Ligue 1,2021-2022
Azor Matusiwa,7.06,14,82.35,0,1,238,Stade de Reims,Ligue 1,2021-2022
Florian Sotoca,7.06,30,60.0,10,7,412,RC Lens,Ligue 1,2021-2022
Amine Gouiri,7.05,62,51.24,11,12,450,Nice,Ligue 1,2021-2022
Nayef Aguerd,7.05,5,83.33,0,0,257,Stade Rennais,Ligue 1,2021-2022
Idrissa Gueye,7.04,20,71.43,1,3,141,Paris Saint-Germain,Ligue 1,2021-2022
Thomas Mangani,7.04,4,50.0,0,1,363,Angers,Ligue 1,2021-2022
Wylan Cyprien,7.03,15,71.43,0,5,223,Nantes,Ligue 1,2021-2022
