Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
Paulo Dybala,7.49,27,50.0,5,12,310,Roma,Serie A,2022-2023
Domenico Berardi,7.43,22,52.38,5,8,400,Sassuolo,Serie A,2022-2023
Hakan Çalhanoğlu,7.31,8,44.44,0,3,337,Inter,Serie A,2022-2023
Khvicha Kvaratskhelia,7.3,75,41.21,3,14,474,Napoli,Serie A,2022-2023
Mário Rui,7.28,8,61.54,1,5,351,Napoli,Serie A,2022-2023
Lucas Martínez Quarta,7.25,12,80.0,3,1,301,Fiorentina,Serie A,2022-2023
Mattia Zaccagni,7.25,60,63.16,2,10,333,Lazio,Serie A,2022-2023
Lorenzo Pellegrini,7.24,32,48.48,6,11,426,Roma,Serie A,2022-2023
Danilo,7.24,8,47.06,1,3,381,Juventus,Serie A,2022-2023
Lautaro Martínez,7.23,29,48.33,19,9,339,Inter,Serie A,2022-2023
Min-jae Kim,7.22,4,57.14,2,2,285,Napoli,Serie A,2022-2023
Sandro Tonali,7.21,9,47.37,1,12,442,Milan,Serie A,2022-2023
Ismaël Bennacer,7.2,27,67.5,0,4,283,Milan,Serie A,2022-2023
Victor Osimhen,7.2,25,40.32,24,2,308,Napoli,Serie A,2022-2023
Teun Koopmeiners,7.19,29,55.77,7,8,561,Atalanta,Serie A,2022-2023
Cristiano Biraghi,7.18,7,43.75,1,6,593,Fiorentina,Serie A,2022-2023
Fikayo Tomori,7.18,3,75.0,1,1,238,Milan,Serie A,2022-2023
Amir Rrahmani,7.18,3,50.0,2,2,205,Napoli,Serie A,2022-2023
Giovanni Di Lorenzo,7.17,12,41.38,0,6,472,Napoli,Serie A,2022-2023
Federico Dimarco,7.17,5,27.78,3,12,374,Inter,Serie A,2022-2023
Sergej Milinković-Savić,7.17,39,54.93,4,14,675,Lazio,Serie A,2022-2023
Armand Laurienté,7.16,64,52.03,1,7,410,Sassuolo,Serie A,2022-2023
Luis Alberto,7.15,19,48.72,4,7,440,Lazio,Serie A,2022-2023
Nicolás Domínguez,7.14,26,68.42,1,4,336,Bologna,Serie A,2022-2023
Piotr Zieliński,7.14,22,43.14,1,12,325,Napoli,Serie A,2022-2023
Ivan Provedel,7.11,1,100.0,0,0,263,Lazio,Serie A,2022-2023
Bremer,7.11,3,42.86,6,3,195,Juventus,Serie A,2022-2023
Chris Smalling,7.11,2,66.67,2,1,184,Roma,Serie A,2022-2023
Patric,7.11,2,66.67,0,0,121,Lazio,Serie A,2022-2023
Răzvan Marin,7.1,22,59.46,0,5,396,Empoli,Serie A,2022-2023
Felipe Anderson,7.1,54,56.25,2,4,493,Lazio,Serie A,2022-2023
Rafael Leão,7.09,77,50.0,12,15,439,Milan,Serie A,2022-2023
Romelu Lukaku,7.09,16,55.17,4,7,219,Inter,Serie A,2022-2023
Gerard Deulofeu,7.09,20,48.78,9,3,211,Udinese,Serie A,2022-2023
Nicolò Barella,7.08,40,70.18,2,4,406,Inter,Serie A,2022-2023
Jaka Bijol,7.08,2,40.0,1,4,228,Udinese,Serie A,2022-2023
Juan Cuadrado,7.07,25,53.19,0,6,286,Juventus,Serie A,2022-2023
Armando Izzo,7.06,11,55.0,3,1,237,Monza,Serie A,2022-2023
Adrien Rabiot,7.05,27,60.0,6,1,332,Juventus,Serie A,2022-2023
Stanislav Lobotka,7.05,17,77.27,0,1,184,Napoli,Serie A,2022-2023
Jérémie Boga,7.05,48,59.26,0,3,175,Atalanta,Serie A,2022-2023
Guglielmo Vicario,7.05,0,0.0,0,0,354,Empoli,Serie A,2022-2023
Ardian Ismajli,7.05,2,100.0,0,0,164,Empoli,Serie A,2022-2023
Stefan Posch,7.04,14,46.67,2,3,472,Bologna,Serie A,2022-2023
Nicolò Rovella,7.04,8,50.0,1,3,198,Monza,Serie A,2022-2023
Ángel Di María,7.03,32,43.84,1,10,293,Juventus,Serie A,2022-2023
Ademola Lookman,7.03,34,47.89,7,10,289,Atalanta,Serie A,2022-2023
Alessio Romagnoli,7.03,1,100.0,0,1,189,Lazio,Serie A,2022-2023
Rodrigo Becão,7.03,5,50.0,0,1,334,Udinese,Serie A,2022-2023
Antonio Candreva,7.03,8,36.36,1,5,486,Salernitana,Serie A,2022-2023
Stefano Sensi,7.03,11,55.0,0,3,248,Monza,Serie A,2022-2023
Bryan Cristante,7.02,9,75.0,2,2,338,Roma,Serie A,2022-2023
Juan Jesus,7.02,0,0.0,0,0,79,Napoli,Serie A,2022-2023
Michele Di Gregorio,7.02,2,100.0,0,1,366,Monza,Serie A,2022-2023
Marcelo Brozović,7.02,16,64.0,0,3,219,Inter,Serie A,2022-2023
Matteo Pessina,7.02,34,64.15,0,2,423,Monza,Serie A,2022-2023
Roger Ibañez,7.0,13,65.0,4,1,251,Roma,Serie A,2022-2023
Filip Kostić,7.0,23,48.94,2,10,479,Juventus,Serie A,2022-2023
Francesco Acerbi,7.0,7,63.64,0,0,213,Inter,Serie A,2022-2023
Wojciech Szczęsny,7.0,1,100.0,0,0,165,Juventus,Serie A,2022-2023
André Onana,6.99,0,0.0,0,0,194,Inter,Serie A,2022-2023
Riccardo Orsolini,6.99,35,44.3,5,4,471,Bologna,Serie A,2022-2023
Alessandro Bastoni,6.99,8,57.14,0,6,314,Inter,Serie A,2022-2023
Ivan Ilić,6.99,15,60.0,0,2,292,Torino,Serie A,2022-2023
Federico Gatti,6.98,8,80.0,0,1,166,Juventus,Serie A,2022-2023
Manuel Locatelli,6.98,16,59.26,1,2,308,Juventus,Serie A,2022-2023
Ciro Immobile,6.98,18,47.37,13,2,266,Lazio,Serie A,2022-2023
Nicolò Casale,6.98,1,33.33,0,0,139,Lazio,Serie A,2022-2023
Marco Carnesecchi,6.98,0,0.0,0,1,389,Cremonese,Serie A,2022-2023
Gabriel Strefezza,6.98,38,47.5,2,7,534,Lecce,Serie A,2022-2023
Carlos Augusto,6.98,33,57.89,4,5,388,Monza,Serie A,2022-2023
Sebastiano Luperto,6.98,2,100.0,0,1,240,Empoli,Serie A,2022-2023
Darko Lazović,6.97,20,40.0,5,14,422,Hellas Verona,Serie A,2022-2023
Nikola Milenković,6.97,0,0.0,1,2,192,Fiorentina,Serie A,2022-2023
Malick Thiaw,6.97,1,33.33,2,0,134,Milan,Serie A,2022-2023
Rolando Mandragora,6.97,5,35.71,0,7,224,Fiorentina,Serie A,2022-2023
Frank Anguissa,6.97,33,50.0,3,3,431,Napoli,Serie A,2022-2023
Rémi Oudin,6.97,10,50.0,1,1,268,Lecce,Serie A,2022-2023
Alex Meret,6.97,0,0.0,0,0,113,Napoli,Serie A,2022-2023
Nicolás González,6.97,25,44.64,5,2,287,Fiorentina,Serie A,2022-2023
Aleksei Miranchuk,6.97,15,37.5,2,5,273,Torino,Serie A,2022-2023
Luigi Sepe,6.96,0,0.0,0,0,208,Salernitana,Serie A,2022-2023
Olivier Giroud,6.96,7,53.85,15,10,295,Milan,Serie A,2022-2023
Edin Džeko,6.96,9,39.13,7,4,244,Inter,Serie A,2022-2023
Boulaye Dia,6.96,35,47.3,5,4,316,Salernitana,Serie A,2022-2023
Theo Hernández,6.96,19,34.55,3,3,465,Milan,Serie A,2022-2023
Stefan de Vrij,6.96,4,80.0,1,0,136,Inter,Serie A,2022-2023
Nehuén Pérez,6.96,5,45.45,0,0,301,Udinese,Serie A,2022-2023
Antonio Sanabria,6.96,23,67.65,9,7,291,Torino,Serie A,2022-2023
Ricardo Rodríguez,6.95,7,58.33,0,1,349,Torino,Serie A,2022-2023
Emil Audero,6.95,0,0.0,0,0,303,U.C Sampdoria,Serie A,2022-2023
Sandi Lovrić,6.95,14,41.18,1,2,292,Udinese,Serie A,2022-2023
Guillermo Ochoa,6.95,0,0.0,0,0,322,Salernitana,Serie A,2022-2023
Alex Sandro,6.95,19,82.61,1,2,224,Juventus,Serie A,2022-2023
Morten Hjulmand,6.95,17,85.0,0,3,336,Lecce,Serie A,2022-2023
Dušan Vlahović,6.94,14,43.75,9,4,227,Juventus,Serie A,2022-2023
Lorenzo Montipò,6.94,0,0.0,0,0,472,Hellas Verona,Serie A,2022-2023
Matteo Politano,6.93,23,47.92,2,7,243,Napoli,Serie A,2022-2023
Vanja Milinković-Savić,6.93,0,0.0,0,1,696,Torino,Serie A,2022-2023
Wladimiro Falcone,6.93,0,0.0,0,0,571,Lecce,Serie A,2022-2023
Vlad Chiricheş,6.93,3,100.0,0,0,73,Cremonese,Serie A,2022-2023
Manolo Gabbiadini,6.93,6,28.57,5,9,297,U.C Sampdoria,Serie A,2022-2023
Samir Handanović,6.93,0,0.0,0,0,56,Inter,Serie A,2022-2023
Rafael Tolói,6.93,6,40.0,3,0,366,Atalanta,Serie A,2022-2023
Marko Arnautović,6.92,13,54.17,8,4,214,Bologna,Serie A,2022-2023
Patrick Ciurria,6.92,19,40.43,2,9,368,Monza,Serie A,2022-2023
Musa Barrow,6.92,24,36.92,0,9,349,Bologna,Serie A,2022-2023
Jhon Lucumí,6.92,4,66.67,0,0,248,Bologna,Serie A,2022-2023
Davide Calabria,6.92,3,27.27,0,3,266,Milan,Serie A,2022-2023
Nikola Vlašić,6.92,30,53.57,6,2,379,Torino,Serie A,2022-2023
Norbert Gyömbér,6.92,2,66.67,1,1,128,Salernitana,Serie A,2022-2023
Saša Lukić,6.92,1,20.0,1,2,135,Torino,Serie A,2022-2023
Aleksa Terzić,6.92,16,66.67,0,2,171,Fiorentina,Serie A,2022-2023
Rade Krunić,6.92,19,82.61,1,2,158,Milan,Serie A,2022-2023
Christian Kouamé,6.91,21,36.84,6,5,355,Fiorentina,Serie A,2022-2023
Luis Muriel,6.91,34,50.75,1,6,301,Atalanta,Serie A,2022-2023
Marten de Roon,6.91,5,55.56,0,2,362,Atalanta,Serie A,2022-2023
Hirving Lozano,6.91,36,53.73,5,5,231,Napoli,Serie A,2022-2023
Federico Baschirotto,6.91,3,75.0,1,1,397,Lecce,Serie A,2022-2023
Brahim Díaz,6.91,39,49.37,6,11,310,Milan,Serie A,2022-2023
Ethan Ampadu,6.91,9,90.0,4,2,335,Spezia,Serie A,2022-2023
Nemanja Matić,6.91,24,82.76,1,4,232,Roma,Serie A,2022-2023
Gianluca Mancini,6.9,9,64.29,2,2,343,Roma,Serie A,2022-2023
Łukasz Skorupski,6.9,0,0.0,0,0,260,Bologna,Serie A,2022-2023
Lazar Samardžić,6.9,28,45.16,0,5,263,Udinese,Serie A,2022-2023
Matteo Darmian,6.9,9,50.0,1,4,219,Inter,Serie A,2022-2023
Ruslan Malinovskyi,6.9,9,47.37,0,4,125,Atalanta,Serie A,2022-2023
Jerdy Schouten,6.9,27,67.5,0,3,285,Bologna,Serie A,2022-2023
Santiago Ascacíbar,6.9,4,50.0,0,1,93,Cremonese,Serie A,2022-2023
Davide Frattesi,6.9,34,55.74,5,3,347,Sassuolo,Serie A,2022-2023
Stephan El Shaarawy,6.9,26,39.39,3,0,249,Roma,Serie A,2022-2023
Leandro Paredes,6.9,4,80.0,0,2,108,Juventus,Serie A,2022-2023
Giacomo Bonaventura,6.89,23,54.76,3,3,239,Fiorentina,Serie A,2022-2023
Milan Đurić,6.89,2,40.0,1,2,317,Hellas Verona,Serie A,2022-2023
Nikola Moro,6.89,18,72.0,0,4,192,Bologna,Serie A,2022-2023
Mike Maignan,6.89,0,0.0,0,0,139,Milan,Serie A,2022-2023
Simone Bastoni,6.89,7,41.18,0,3,277,Spezia,Serie A,2022-2023
Simone Verdi,6.88,37,63.79,0,4,238,Hellas Verona,Serie A,2022-2023
Bram Nuytinck,6.88,1,50.0,0,1,134,U.C Sampdoria,Serie A,2022-2023
Alessandro Buongiorno,6.88,6,46.15,1,3,286,Torino,Serie A,2022-2023
Henrikh Mkhitaryan,6.88,14,46.67,1,3,214,Inter,Serie A,2022-2023
Juan Musso,6.88,0,0.0,0,0,194,Atalanta,Serie A,2022-2023
Destiny Udogie,6.88,51,50.5,2,2,349,Udinese,Serie A,2022-2023
Nicolò Cambiaghi,6.88,21,51.22,1,0,198,Empoli,Serie A,2022-2023
Samuele Ricci,6.88,8,40.0,3,3,198,Torino,Serie A,2022-2023
Roberto Pereyra,6.87,39,43.33,4,8,388,Udinese,Serie A,2022-2023
Samuel Umtiti,6.87,6,54.55,1,0,161,Lecce,Serie A,2022-2023
Arkadiusz Milik,6.87,11,55.0,7,4,179,Juventus,Serie A,2022-2023
Perr Schuurs,6.87,10,76.92,2,1,175,Torino,Serie A,2022-2023
Éderson,6.87,37,60.66,1,4,314,Atalanta,Serie A,2022-2023
Bartłomiej Drągowski,6.87,0,0.0,0,1,376,Spezia,Serie A,2022-2023
Arthur Cabral,6.87,15,46.88,2,0,190,Fiorentina,Serie A,2022-2023
Davide Zappacosta,6.87,17,34.0,1,3,232,Atalanta,Serie A,2022-2023
Andrea Colpani,6.87,20,60.61,2,5,145,Monza,Serie A,2022-2023
Georgios Kyriakopoulos,6.87,25,56.82,1,3,259,Bologna,Serie A,2022-2023
Pierre Kalulu,6.86,10,66.67,3,2,268,Milan,Serie A,2022-2023
Pablo Marí,6.86,2,50.0,0,0,207,Monza,Serie A,2022-2023
Pedro,6.86,31,53.45,1,5,285,Lazio,Serie A,2022-2023
Sofyan Amrabat,6.86,12,75.0,0,1,209,Fiorentina,Serie A,2022-2023
Leonardo Bonucci,6.86,1,100.0,1,0,76,Juventus,Serie A,2022-2023
Junior Messias,6.86,34,61.82,2,4,204,Milan,Serie A,2022-2023
Adam Marušić,6.85,10,76.92,2,2,295,Lazio,Serie A,2022-2023
Daniele Verde,6.85,6,46.15,1,2,175,Spezia,Serie A,2022-2023
Martin Erlić,6.85,1,50.0,0,1,199,Sassuolo,Serie A,2022-2023
Federico Chiesa,6.85,24,55.81,1,4,160,Juventus,Serie A,2022-2023
Eljif Elmas,6.85,23,51.11,0,3,213,Napoli,Serie A,2022-2023
