Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
Joshua Kimmich,7.66,38,61.29,1,21,538,FC Bayern München,Bundesliga,2018-2019
Thiago Alcântara,7.54,57,85.07,1,6,323,FC Bayern München,Bundesliga,2018-2019
Thorgan Hazard,7.52,71,59.17,3,13,602,Borussia M'gladbach,Bundesliga,2018-2019
James Rodríguez,7.49,16,61.54,4,8,206,FC Bayern München,Bundesliga,2018-2019
Robert Lewandowski,7.46,51,67.11,32,15,352,FC Bayern München,Bundesliga,2018-2019
Kerem Demirbay,7.43,58,76.32,4,16,456,TSG Hoffenheim,Bundesliga,2018-2019
Marcel Halstenberg,7.41,28,68.29,3,15,513,RB Leipzig,Bundesliga,2018-2019
Max Kruse,7.41,37,67.27,8,8,600,SV Werder Bremen,Bundesliga,2018-2019
Sébastien Haller,7.37,28,57.14,10,13,458,Eintracht Frankfurt,Bundesliga,2018-2019
Kevin Stöger,7.35,27,65.85,2,13,342,Fortuna Düsseldorf,Bundesliga,2018-2019
Ishak Belfodil,7.31,38,69.09,11,8,230,TSG Hoffenheim,Bundesliga,2018-2019
Jadon Sancho,7.28,113,60.75,3,13,525,Borussia Dortmund,Bundesliga,2018-2019
Vincenzo Grifo,7.27,33,66.0,1,2,343,SC Freiburg,Bundesliga,2018-2019
Thomas Müller,7.26,23,65.71,12,18,440,FC Bayern München,Bundesliga,2018-2019
Julian Brandt,7.24,55,56.7,7,14,611,Bayer 04 Leverkusen,Bundesliga,2018-2019
Kevin Volland,7.23,31,55.36,11,13,438,Bayer 04 Leverkusen,Bundesliga,2018-2019
Marco Reus,7.23,25,42.37,15,11,354,Borussia Dortmund,Bundesliga,2018-2019
Kevin Kampl,7.23,25,75.76,1,8,338,RB Leipzig,Bundesliga,2018-2019
Mats Hummels,7.23,10,90.91,3,2,205,FC Bayern München,Bundesliga,2018-2019
Wout Weghorst,7.22,15,57.69,8,8,376,VfL Wolfsburg,Bundesliga,2018-2019
Timo Werner,7.2,29,35.8,22,7,435,RB Leipzig,Bundesliga,2018-2019
Kingsley Coman,7.2,60,65.93,5,7,264,FC Bayern München,Bundesliga,2018-2019
Willi Orbán,7.19,3,75.0,7,0,234,RB Leipzig,Bundesliga,2018-2019
Yussuf Poulsen,7.18,24,41.38,5,7,524,RB Leipzig,Bundesliga,2018-2019
Kai Havertz,7.18,48,55.17,8,5,442,Bayer 04 Leverkusen,Bundesliga,2018-2019
Maximilian Arnold,7.18,25,83.33,1,8,432,VfL Wolfsburg,Bundesliga,2018-2019
Andrej Kramarić,7.17,28,53.85,18,8,377,TSG Hoffenheim,Bundesliga,2018-2019
Thomas Delaney,7.16,10,66.67,3,5,303,Borussia Dortmund,Bundesliga,2018-2019
Niklas Süle,7.15,3,100.0,1,0,197,FC Bayern München,Bundesliga,2018-2019
David Alaba,7.15,29,74.36,1,6,441,FC Bayern München,Bundesliga,2018-2019
Łukasz Piszczek,7.15,8,33.33,0,4,293,Borussia Dortmund,Bundesliga,2018-2019
Axel Witsel,7.14,28,77.78,1,3,231,Borussia Dortmund,Bundesliga,2018-2019
Luka Jović,7.14,25,55.56,18,7,345,Eintracht Frankfurt,Bundesliga,2018-2019
Jérôme Boateng,7.13,1,100.0,0,2,195,FC Bayern München,Bundesliga,2018-2019
Raphaël Guerreiro,7.12,31,65.96,1,8,297,Borussia Dortmund,Bundesliga,2018-2019
Milot Rashica,7.12,33,43.42,4,7,347,SV Werder Bremen,Bundesliga,2018-2019
Daniel Caligiuri,7.12,64,62.75,2,8,688,FC Schalke 04,Bundesliga,2018-2019
Lars Stindl,7.12,17,58.62,1,5,210,Borussia M'gladbach,Bundesliga,2018-2019
Filip Kostić,7.11,58,62.37,2,16,785,Eintracht Frankfurt,Bundesliga,2018-2019
Leon Bailey,7.11,53,68.83,3,6,461,Bayer 04 Leverkusen,Bundesliga,2018-2019
Paco Alcácer,7.1,6,75.0,8,2,113,Borussia Dortmund,Bundesliga,2018-2019
Serge Gnabry,7.1,50,46.73,8,13,309,FC Bayern München,Bundesliga,2018-2019
Emil Forsberg,7.1,22,53.66,2,6,206,RB Leipzig,Bundesliga,2018-2019
Aarón Martín,7.09,45,80.36,0,7,516,1. FSV Mainz 05,Bundesliga,2018-2019
Péter Gulácsi,7.08,0,0.0,0,1,371,RB Leipzig,Bundesliga,2018-2019
Yann Sommer,7.06,2,100.0,0,0,327,Borussia M'gladbach,Bundesliga,2018-2019
Florian Grillitsch,7.06,24,75.0,0,5,319,TSG Hoffenheim,Bundesliga,2018-2019
Ibrahima Traoré,7.06,20,76.92,0,5,108,Borussia M'gladbach,Bundesliga,2018-2019
Ibrahima Konaté,7.06,22,84.62,2,0,286,RB Leipzig,Bundesliga,2018-2019
Lukas Klostermann,7.06,7,43.75,1,3,301,RB Leipzig,Bundesliga,2018-2019
Salif Sané,7.06,14,93.33,1,0,280,FC Schalke 04,Bundesliga,2018-2019
Marko Grujić,7.05,30,66.67,1,2,248,Hertha BSC,Bundesliga,2018-2019
Charles Aránguiz,7.05,9,56.25,1,7,266,Bayer 04 Leverkusen,Bundesliga,2018-2019
Mario Götze,7.05,26,50.0,3,12,302,Borussia Dortmund,Bundesliga,2018-2019
Joelinton,7.05,47,55.95,8,9,345,TSG Hoffenheim,Bundesliga,2018-2019
Makoto Hasebe,7.05,5,100.0,0,2,237,Eintracht Frankfurt,Bundesliga,2018-2019
Karim Onisiwo,7.04,15,39.47,5,6,191,1. FSV Mainz 05,Bundesliga,2018-2019
Bastian Oczipka,7.04,23,48.94,0,6,343,FC Schalke 04,Bundesliga,2018-2019
Tony Jantschke,7.04,2,66.67,0,1,88,Borussia M'gladbach,Bundesliga,2018-2019
Nils Petersen,7.04,8,34.78,8,1,266,SC Freiburg,Bundesliga,2018-2019
Lukas Kübler,7.04,6,66.67,0,3,202,SC Freiburg,Bundesliga,2018-2019
Jonathan de Guzmán,7.04,13,68.42,1,9,314,Eintracht Frankfurt,Bundesliga,2018-2019
Diego Demme,7.04,8,50.0,0,4,380,RB Leipzig,Bundesliga,2018-2019
Jonathan Tah,7.03,17,85.0,2,1,291,Bayer 04 Leverkusen,Bundesliga,2018-2019
Admir Mehmedi,7.03,13,44.83,5,6,315,VfL Wolfsburg,Bundesliga,2018-2019
