Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
Harry Kane,7.76,24,44.44,27,13,312,FC Bayern München,Bundesliga,2023-2024
Alejandro Grimaldo,7.75,20,46.51,1,18,481,Bayer 04 Leverkusen,Bundesliga,2023-2024
Serhou Guirassy,7.72,16,43.24,20,12,279,VfB Stuttgart,Bundesliga,2023-2024
Xavi Simons,7.7,84,60.0,5,14,485,RB Leipzig,Bundesliga,2023-2024
Deniz Undav,7.65,27,57.45,12,15,338,VfB Stuttgart,Bundesliga,2023-2024
Leroy Sané,7.65,93,58.86,8,16,399,FC Bayern München,Bundesliga,2023-2024
Florian Wirtz,7.63,79,51.3,8,12,561,Bayer 04 Leverkusen,Bundesliga,2023-2024
Exequiel Palacios,7.6,23,88.46,2,8,205,Bayer 04 Leverkusen,Bundesliga,2023-2024
Kevin Stöger,7.6,25,44.64,1,17,787,VfL Bochum 1848,Bundesliga,2023-2024
Andrej Kramarić,7.55,25,53.19,5,14,334,TSG Hoffenheim,Bundesliga,2023-2024
Granit Xhaka,7.49,16,64.0,0,4,342,Bayer 04 Leverkusen,Bundesliga,2023-2024
Jamal Musiala,7.49,87,59.59,10,12,333,FC Bayern München,Bundesliga,2023-2024
Jonas Hofmann,7.47,18,51.43,7,17,386,Bayer 04 Leverkusen,Bundesliga,2023-2024
Joshua Kimmich,7.42,10,45.45,1,11,363,FC Bayern München,Bundesliga,2023-2024
Leon Goretzka,7.41,13,61.9,2,10,231,FC Bayern München,Bundesliga,2023-2024
Jan-Niklas Beste,7.4,30,40.0,2,10,541,1. FC Heidenheim,Bundesliga,2023-2024
Oliver Baumann,7.38,0,0.0,0,0,357,TSG Hoffenheim,Bundesliga,2023-2024
David Raum,7.38,18,58.06,0,15,649,RB Leipzig,Bundesliga,2023-2024
Nadiem Amiri,7.36,26,48.15,2,10,311,1. FSV Mainz 05,Bundesliga,2023-2024
Victor Okoh Boniface,7.36,46,52.27,16,8,248,Bayer 04 Leverkusen,Bundesliga,2023-2024
Loïs Openda,7.35,20,36.36,22,11,327,RB Leipzig,Bundesliga,2023-2024
Nico Schlotterbeck,7.32,8,53.33,4,4,330,Borussia Dortmund,Bundesliga,2023-2024
Angelo Stiller,7.32,17,73.91,2,6,372,VfB Stuttgart,Bundesliga,2023-2024
Michael Zetterer,7.31,0,0.0,0,0,239,SV Werder Bremen,Bundesliga,2023-2024
Marvin Ducksch,7.31,12,42.86,8,12,470,SV Werder Bremen,Bundesliga,2023-2024
Maximilian Mittelstädt,7.3,36,65.45,0,8,336,VfB Stuttgart,Bundesliga,2023-2024
Kingsley Coman,7.27,29,47.54,3,4,199,FC Bayern München,Bundesliga,2023-2024
Ian Maatsen,7.27,13,56.52,0,3,177,Borussia Dortmund,Bundesliga,2023-2024
Jeremie Frimpong,7.27,48,50.0,11,9,373,Bayer 04 Leverkusen,Bundesliga,2023-2024
Vincenzo Grifo,7.26,23,45.1,2,17,452,SC Freiburg,Bundesliga,2023-2024
Omar Marmoush,7.25,39,37.86,6,6,400,Eintracht Frankfurt,Bundesliga,2023-2024
Donyell Malen,7.24,42,51.22,6,9,273,Borussia Dortmund,Bundesliga,2023-2024
Robin Gosens,7.24,5,41.67,0,6,373,1. FC Union Berlin,Bundesliga,2023-2024
Franck Honorat,7.24,21,42.86,2,19,482,Borussia M'gladbach,Bundesliga,2023-2024
Chris Führich,7.24,73,51.77,8,11,416,VfB Stuttgart,Bundesliga,2023-2024
Thomas Müller,7.22,11,57.89,6,17,268,FC Bayern München,Bundesliga,2023-2024
Jadon Sancho,7.22,36,54.55,3,4,161,Borussia Dortmund,Bundesliga,2023-2024
Julian Brandt,7.21,27,41.54,3,18,392,Borussia Dortmund,Bundesliga,2023-2024
Jonas Wind,7.21,13,44.83,11,9,317,VfL Wolfsburg,Bundesliga,2023-2024
Moritz Nicolas,7.21,0,0.0,0,0,237,Borussia M'gladbach,Bundesliga,2023-2024
Dani Olmo,7.21,31,44.93,3,8,241,RB Leipzig,Bundesliga,2023-2024
Kevin Müller,7.2,0,0.0,0,0,380,1. FC Heidenheim,Bundesliga,2023-2024
Josip Stanišić,7.2,12,66.67,1,2,141,Bayer 04 Leverkusen,Bundesliga,2023-2024
Robert Andrich,7.2,7,63.64,2,3,172,Bayer 04 Leverkusen,Bundesliga,2023-2024
Marco Reus,7.19,8,44.44,10,10,189,Borussia Dortmund,Bundesliga,2023-2024
Amadou Haidara,7.19,9,81.82,0,2,154,RB Leipzig,Bundesliga,2023-2024
Gregor Kobel,7.19,1,100.0,0,0,201,Borussia Dortmund,Bundesliga,2023-2024
Manuel Riemann,7.18,1,100.0,0,0,686,VfL Bochum 1848,Bundesliga,2023-2024
Ermedin Demirović,7.17,29,48.33,9,8,356,FC Augsburg,Bundesliga,2023-2024
Frederik Rønnow,7.17,0,0.0,0,1,366,1. FC Union Berlin,Bundesliga,2023-2024
Jonathan Tah,7.17,5,55.56,2,1,144,Bayer 04 Leverkusen,Bundesliga,2023-2024
