Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
Kylian Mbappé,7.89,61,49.59,12,8,328,Paris Saint-Germain,Ligue 1,2023-2024
Aleksandr Golovin,7.64,24,58.54,2,7,387,AS Monaco,Ligue 1,2023-2024
Florian Sotoca,7.5,20,57.14,3,14,474,RC Lens,Ligue 1,2023-2024
Vitinha,7.49,32,62.75,2,4,265,Paris Saint-Germain,Ligue 1,2023-2024
Teji Savanier,7.48,55,56.7,3,13,725,Montpellier,Ligue 1,2023-2024
Romain Del Castillo,7.43,75,49.34,2,14,682,Stade Brestois,Ligue 1,2023-2024
Pierre Lees Melou,7.4,29,67.44,0,5,323,Stade Brestois,Ligue 1,2023-2024
Ousmane Dembélé,7.38,65,49.24,6,10,387,Paris Saint-Germain,Ligue 1,2023-2024
Mory Diaw,7.35,3,75.0,0,0,400,Clermont Foot,Ligue 1,2023-2024
Achraf Hakimi,7.34,27,47.37,1,8,375,Paris Saint-Germain,Ligue 1,2023-2024
Teddy Teuma,7.31,27,62.79,1,6,408,Stade de Reims,Ligue 1,2023-2024
Wilfried Singo,7.31,29,76.32,0,2,243,AS Monaco,Ligue 1,2023-2024
Gianluigi Donnarumma,7.3,1,100.0,0,0,88,Paris Saint-Germain,Ligue 1,2023-2024
Benjamin Bourigeaud,7.29,10,41.67,2,8,426,Stade Rennais,Ligue 1,2023-2024
Angel Gomes,7.29,22,64.71,0,15,238,Lille,Ligue 1,2023-2024
Junya Ito,7.28,54,54.0,7,19,549,Stade de Reims,Ligue 1,2023-2024
Anthony Lopes,7.28,0,0.0,0,1,262,Olympique Lyonnais,Ligue 1,2023-2024
Alexandre Lacazette,7.28,22,56.41,9,4,274,Olympique Lyonnais,Ligue 1,2023-2024
Pierre-Emerick Aubameyang,7.27,18,56.25,22,10,295,Olympique de Marseille,Ligue 1,2023-2024
Marquinhos,7.26,1,100.0,0,1,112,Paris Saint-Germain,Ligue 1,2023-2024
Takumi Minamino,7.26,15,39.47,3,8,349,AS Monaco,Ligue 1,2023-2024
Marco Asensio,7.25,10,50.0,5,8,144,Paris Saint-Germain,Ligue 1,2023-2024
Edon Zhegrova,7.24,90,54.22,7,8,471,Lille,Ligue 1,2023-2024
Arnaud Nordin,7.24,33,68.75,1,4,167,Montpellier,Ligue 1,2023-2024
Imrân Louza,7.24,10,58.82,0,7,152,Lorient,Ligue 1,2023-2024
Maxence Caqueret,7.24,52,65.0,2,9,483,Olympique Lyonnais,Ligue 1,2023-2024
Kenny Lala,7.23,19,51.35,0,5,535,Stade Brestois,Ligue 1,2023-2024
Brice Samba,7.23,0,0.0,0,0,244,RC Lens,Ligue 1,2023-2024
Georges Mikautadze,7.23,42,44.68,7,4,269,Metz,Ligue 1,2023-2024
Jonathan David,7.22,15,44.12,15,8,237,Lille,Ligue 1,2023-2024
Jonathan Clauss,7.22,19,57.58,1,5,432,Olympique de Marseille,Ligue 1,2023-2024
Bafodé Diakité,7.21,5,62.5,1,3,124,Lille,Ligue 1,2023-2024
Tiago Santos,7.19,54,60.0,0,4,397,Lille,Ligue 1,2023-2024
Yvon Mvogo,7.19,1,100.0,0,0,280,Lorient,Ligue 1,2023-2024
Muhammed Cham-Saračević,7.18,34,54.84,7,3,401,Clermont Foot,Ligue 1,2023-2024
Alexandre Oukidja,7.18,3,100.0,0,0,489,Metz,Ligue 1,2023-2024
Benjamin Lecomte,7.18,0,0.0,0,1,336,Montpellier,Ligue 1,2023-2024
Ismail Jakobs,7.18,10,76.92,0,3,286,AS Monaco,Ligue 1,2023-2024
Youssouf Fofana,7.17,39,60.0,5,7,447,AS Monaco,Ligue 1,2023-2024
Gonçalo Ramos,7.16,8,42.11,7,5,158,Paris Saint-Germain,Ligue 1,2023-2024
Marco Bizot,7.16,0,0.0,0,0,275,Stade Brestois,Ligue 1,2023-2024
Maghnes Akliouche,7.16,27,55.1,6,4,297,AS Monaco,Ligue 1,2023-2024
Christopher Operi,7.16,29,58.0,1,4,501,Le Havre,Ligue 1,2023-2024
Danilo Pereira,7.15,3,60.0,5,0,141,Paris Saint-Germain,Ligue 1,2023-2024
Corentin Tolisso,7.15,5,55.56,1,1,250,Olympique Lyonnais,Ligue 1,2023-2024
Kang-in Lee,7.15,25,55.56,1,4,231,Paris Saint-Germain,Ligue 1,2023-2024
Dilane Bakwa,7.15,52,45.61,1,13,437,RC Strasbourg,Ligue 1,2023-2024
Leonardo Balerdi,7.14,9,60.0,3,0,260,Olympique de Marseille,Ligue 1,2023-2024
Manuel Ugarte,7.14,21,58.33,0,1,184,Paris Saint-Germain,Ligue 1,2023-2024
Emmanuel Agbadou,7.14,15,48.39,2,2,305,Stade de Reims,Ligue 1,2023-2024
Joseph Okumu,7.14,7,87.5,0,0,250,Stade de Reims,Ligue 1,2023-2024
Dante,7.14,4,80.0,1,2,283,Nice,Ligue 1,2023-2024
Thilo Kehrer,7.14,3,100.0,0,1,112,AS Monaco,Ligue 1,2023-2024
Wissam Ben Yedder,7.14,17,38.64,14,6,318,AS Monaco,Ligue 1,2023-2024
Jérémie Boga,7.13,63,57.8,4,8,291,Nice,Ligue 1,2023-2024
Yann Gboho,7.13,30,50.85,0,5,181,Toulouse,Ligue 1,2023-2024
Martin Terrier,7.13,16,47.06,1,5,174,Stade Rennais,Ligue 1,2023-2024
Lucas Chevalier,7.13,0,0.0,0,1,275,Lille,Ligue 1,2023-2024
Kevin Danso,7.13,11,84.62,3,0,246,RC Lens,Ligue 1,2023-2024
Benjamin André,7.12,10,43.48,3,1,385,Lille,Ligue 1,2023-2024
David Pereira da Costa,7.12,20,52.63,0,3,228,RC Lens,Ligue 1,2023-2024
Mohamed Bamba,7.12,11,39.29,6,2,145,Lorient,Ligue 1,2023-2024
Ruben Aguilar,7.12,6,33.33,3,4,294,RC Lens,Ligue 1,2023-2024
Lucas Hernández,7.11,9,64.29,1,5,216,Paris Saint-Germain,Ligue 1,2023-2024
Rayan Cherki,7.11,81,62.79,6,5,387,Olympique Lyonnais,Ligue 1,2023-2024
Désiré Doué,7.11,64,67.37,2,5,348,Stade Rennais,Ligue 1,2023-2024
Thijs Dallinga,7.11,20,58.82,12,3,296,Toulouse,Ligue 1,2023-2024
Arthur Desmas,7.1,0,0.0,0,1,335,Le Havre,Ligue 1,2023-2024
Denis Zakaria,7.1,29,76.32,1,3,155,AS Monaco,Ligue 1,2023-2024
Brendan Chardonnet,7.09,2,33.33,0,3,338,Stade Brestois,Ligue 1,2023-2024
Samuel Gigot,7.09,3,60.0,2,1,131,Olympique de Marseille,Ligue 1,2023-2024
Matthieu Udol,7.09,20,52.63,1,5,390,Metz,Ligue 1,2023-2024
Rémy Cabella,7.09,21,46.67,6,7,247,Lille,Ligue 1,2023-2024
Amine Harit,7.09,39,59.09,2,5,261,Olympique de Marseille,Ligue 1,2023-2024
Laurent Abergel,7.08,44,70.97,0,2,368,Lorient,Ligue 1,2023-2024
Modibo Sagnan,7.08,2,100.0,1,1,85,Montpellier,Ligue 1,2023-2024
Nemanja Matić,7.08,28,71.79,1,1,313,Olympique Lyonnais,Ligue 1,2023-2024
Arthur Theate,7.08,7,53.85,2,2,222,Stade Rennais,Ligue 1,2023-2024
Mahdi Camara,7.08,17,44.74,4,4,243,Stade Brestois,Ligue 1,2023-2024
Fabián Ruiz,7.08,16,88.89,2,2,113,Paris Saint-Germain,Ligue 1,2023-2024
Amine Gouiri,7.08,46,53.49,5,3,263,Stade Rennais,Ligue 1,2023-2024
Vanderson,7.08,17,44.74,0,2,322,AS Monaco,Ligue 1,2023-2024
Jordan Veretout,7.08,9,42.86,1,10,352,Olympique de Marseille,Ligue 1,2023-2024
