Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
Karim Benzema,7.73,36,70.59,18,15,276,Real Madrid,La Liga,2021-2022
Ousmane Dembélé,7.53,59,65.56,4,13,333,Barcelona,La Liga,2021-2022
Toni Kroos,7.44,9,52.94,1,6,219,Real Madrid,La Liga,2021-2022
Dani Parejo,7.41,25,75.76,0,11,408,Villarreal,La Liga,2021-2022
Gerard Moreno,7.41,39,63.93,5,7,227,Villarreal,La Liga,2021-2022
Vinícius Júnior,7.35,95,45.45,11,13,498,Real Madrid,La Liga,2021-2022
Casemiro,7.34,19,70.37,3,7,349,Real Madrid,La Liga,2021-2022
Iago Aspas,7.34,51,61.45,10,8,535,Celta Vigo,La Liga,2021-2022
Iker Muniain,7.32,65,62.5,8,15,514,Athletic Club,La Liga,2021-2022
Jordi Alba,7.3,6,27.27,1,11,509,Barcelona,La Liga,2021-2022
Dani Alves,7.29,12,100.0,0,3,192,Barcelona,La Liga,2021-2022
Memphis Depay,7.26,45,60.81,9,5,392,Barcelona,La Liga,2021-2022
Nabil Fekir,7.26,82,66.67,3,12,529,Real Betis,La Liga,2021-2022
Sergio Busquets,7.26,21,80.77,0,2,403,Barcelona,La Liga,2021-2022
Vedat Muriqi,7.21,9,40.91,1,3,282,Mallorca,La Liga,2021-2022
Joselu,7.21,18,35.29,8,3,598,Deportivo Alavés,La Liga,2021-2022
Luka Modrić,7.19,32,66.67,1,10,277,Real Madrid,La Liga,2021-2022
João Félix,7.15,31,59.62,4,7,197,Atlético Madrid,La Liga,2021-2022
Carlos Soler,7.15,19,50.0,2,5,399,Valencia,La Liga,2021-2022
Jules Koundé,7.14,24,61.54,0,4,316,Sevilla,La Liga,2021-2022
Éder Militão,7.14,11,55.0,1,2,268,Real Madrid,La Liga,2021-2022
Rubén Alcaraz,7.14,11,64.71,0,0,150,Cádiz,La Liga,2021-2022
Pierre-Emerick Aubameyang,7.14,4,66.67,7,3,101,Barcelona,La Liga,2021-2022
Gerard Piqué,7.11,6,100.0,1,1,185,Barcelona,La Liga,2021-2022
Sergio Canales,7.11,29,50.88,2,8,448,Real Betis,La Liga,2021-2022
Gabriel Paulista,7.09,1,50.0,1,0,157,Valencia,La Liga,2021-2022
Diego Carlos,7.09,2,50.0,1,1,297,Sevilla,La Liga,2021-2022
Raúl de Tomás,7.09,50,69.44,13,2,313,Espanyol,La Liga,2021-2022
Marcos Acuña,7.09,44,66.67,2,4,513,Sevilla,La Liga,2021-2022
