Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
Neymar,8.04,90,60.81,15,10,407,Paris Saint-Germain,Ligue 1,2019-2020
Dimitri Payet,7.83,50,60.98,2,10,482,Olympique de Marseille,Ligue 1,2019-2020
Kylian Mbappé,7.71,55,51.4,19,17,301,Paris Saint-Germain,Ligue 1,2019-2020
Memphis Depay,7.68,26,55.32,3,5,208,Olympique Lyonnais,Ligue 1,2019-2020
Ángel Di María,7.6,67,50.38,7,32,538,Paris Saint-Germain,Ligue 1,2019-2020
Wissam Ben Yedder,7.36,34,60.71,11,11,343,AS Monaco,Ligue 1,2019-2020
Marco Verratti,7.29,25,86.21,0,8,177,Paris Saint-Germain,Ligue 1,2019-2020
Teji Savanier,7.28,33,61.11,0,2,326,Montpellier,Ligue 1,2019-2020
Dimitri Liénard,7.27,16,66.67,1,8,295,RC Strasbourg,Ligue 1,2019-2020
Wylan Cyprien,7.24,14,60.87,0,5,269,Nice,Ligue 1,2019-2020
Islam Slimani,7.24,8,40.0,7,8,264,AS Monaco,Ligue 1,2019-2020
Xavier Chavalerin,7.23,13,59.09,0,6,320,Stade de Reims,Ligue 1,2019-2020
Gerónimo Rulli,7.22,0,0.0,0,0,194,Montpellier,Ligue 1,2019-2020
Marquinhos,7.21,7,77.78,1,2,111,Paris Saint-Germain,Ligue 1,2019-2020
Gautier Larsonneur,7.2,0,0.0,0,0,276,Stade Brestois,Ligue 1,2019-2020
Valentin Rongier,7.2,30,88.24,1,5,272,Olympique de Marseille,Ligue 1,2019-2020
Predrag Rajković,7.19,0,0.0,0,0,266,Stade de Reims,Ligue 1,2019-2020
Florent Mollet,7.19,14,58.33,0,6,273,Montpellier,Ligue 1,2019-2020
Thiago Silva,7.18,2,66.67,0,0,79,Paris Saint-Germain,Ligue 1,2019-2020
Idrissa Gueye,7.18,21,52.5,2,3,182,Paris Saint-Germain,Ligue 1,2019-2020
Aleksandr Golovin,7.16,41,70.69,4,10,358,AS Monaco,Ligue 1,2019-2020
Adam Ounas,7.16,45,63.38,0,6,217,Nice,Ligue 1,2019-2020
Hassane Kamara,7.15,37,69.81,2,0,301,Stade de Reims,Ligue 1,2019-2020
Alexandre Oukidja,7.14,1,100.0,0,0,431,Metz,Ligue 1,2019-2020
Yunis Abdelhamid,7.14,20,76.92,2,0,275,Stade de Reims,Ligue 1,2019-2020
Mounir Chouiar,7.14,70,62.5,2,5,322,Dijon,Ligue 1,2019-2020
Alfred Gomis,7.12,1,100.0,0,0,215,Dijon,Ligue 1,2019-2020
Presnel Kimpembe,7.1,13,86.67,0,0,67,Paris Saint-Germain,Ligue 1,2019-2020
Habib Diallo,7.08,21,50.0,7,3,302,Metz,Ligue 1,2019-2020
Dante,7.08,8,88.89,2,0,164,Nice,Ligue 1,2019-2020
Vitorino Hilton,7.08,8,88.89,1,2,296,Montpellier,Ligue 1,2019-2020
Maxwel Cornet,7.08,19,55.88,2,6,277,Olympique Lyonnais,Ligue 1,2019-2020
Pierre Lees Melou,7.08,25,58.14,4,7,297,Nice,Ligue 1,2019-2020
Adrien Thomasson,7.08,29,60.42,4,3,356,RC Strasbourg,Ligue 1,2019-2020
Jason Denayer,7.07,9,81.82,1,0,108,Olympique Lyonnais,Ligue 1,2019-2020
Adama Traoré,7.07,28,71.79,0,2,137,Metz,Ligue 1,2019-2020
Zinedine Ferhat,7.07,50,48.08,4,9,510,Nîmes Olympique,Ligue 1,2019-2020
Baptiste Santamaria,7.06,32,74.42,1,4,332,Angers,Ligue 1,2019-2020
Renato Sanches,7.06,50,69.44,1,5,300,Lille,Ligue 1,2019-2020
Toma Bašić,7.06,19,70.37,1,5,188,Bordeaux,Ligue 1,2019-2020
Darío Benedetto,7.05,17,62.96,6,1,263,Olympique de Marseille,Ligue 1,2019-2020
Lucas Deaux,7.05,9,56.25,0,2,216,Nîmes Olympique,Ligue 1,2019-2020
Marcelo,7.05,0,0.0,1,0,177,Olympique Lyonnais,Ligue 1,2019-2020
Andy Delort,7.05,28,43.08,10,9,492,Montpellier,Ligue 1,2019-2020
Andrei Girotto,7.05,2,50.0,0,1,211,Nantes,Ligue 1,2019-2020
Ryad Boudebouz,7.05,28,60.87,1,7,362,Saint-Étienne,Ligue 1,2019-2020
Gabriel Magalhães,7.05,2,100.0,1,0,291,Lille,Ligue 1,2019-2020
Mauro Icardi,7.05,6,50.0,10,4,53,Paris Saint-Germain,Ligue 1,2019-2020
Victor Osimhen,7.04,15,39.47,14,5,294,Lille,Ligue 1,2019-2020
Nicolas de Préville,7.04,37,42.53,4,7,486,Bordeaux,Ligue 1,2019-2020
Edouard Mendy,7.04,1,100.0,0,0,208,Stade Rennais,Ligue 1,2019-2020
Eduardo Camavinga,7.03,19,67.86,1,1,179,Stade Rennais,Ligue 1,2019-2020
Otávio,7.03,17,80.95,0,2,200,Bordeaux,Ligue 1,2019-2020
Walter Benítez,7.03,0,0.0,0,0,116,Nice,Ligue 1,2019-2020
